ModelGroup,BestModel,BestSolution,lDDT
BujnickiPostExp_1,14_BujnickiPostExp_1_refined.pdb,14_BujnickiPostExp_1_solution.pdb,0.584
BujnickiPostExp_2,14_BujnickiPostExp_2_refined.pdb,14_BujnickiPostExp_2_solution.pdb,0.573
BujnickiPostExp_3,14_BujnickiPostExp_3_refined.pdb,14_BujnickiPostExp_3_solution.pdb,0.464
BujnickiPostExp_4,14_BujnickiPostExp_4_refined.pdb,14_BujnickiPostExp_4_solution.pdb,0.566
BujnickiPreExp_1,14_BujnickiPreExp_1_refined.pdb,14_BujnickiPreExp_1_solution.pdb,0.688
BujnickiPreExp_2,14_BujnickiPreExp_2_refined.pdb,14_BujnickiPreExp_2_solution.pdb,0.629
BujnickiPreExp_3,14_BujnickiPreExp_3_refined.pdb,14_BujnickiPreExp_3_solution.pdb,0.663
BujnickiPreExp_4,14_BujnickiPreExp_4_refined.pdb,14_BujnickiPreExp_4_solution.pdb,0.513
ChenPostExp_1,14_ChenPostExp_1_refined.pdb,14_ChenPostExp_1_solution.pdb,0.525
ChenPostExp_10,14_ChenPostExp_10_refined.pdb,14_ChenPostExp_10_solution.pdb,0.581
ChenPostExp_2,14_ChenPostExp_2_refined.pdb,14_ChenPostExp_2_solution.pdb,0.585
ChenPostExp_3,14_ChenPostExp_3_refined.pdb,14_ChenPostExp_3_solution.pdb,0.595
ChenPostExp_4,14_ChenPostExp_4_refined.pdb,14_ChenPostExp_4_solution.pdb,0.585
ChenPostExp_5,14_ChenPostExp_5_refined.pdb,14_ChenPostExp_5_solution.pdb,0.553
ChenPostExp_6,14_ChenPostExp_6_refined.pdb,14_ChenPostExp_6_solution.pdb,0.534
ChenPostExp_7,14_ChenPostExp_7_refined.pdb,14_ChenPostExp_7_solution.pdb,0.546
ChenPostExp_8,14_ChenPostExp_8_refined.pdb,14_ChenPostExp_8_solution.pdb,0.605
ChenPostExp_9,14_ChenPostExp_9_refined.pdb,14_ChenPostExp_9_solution.pdb,0.574
DasPostExp_1,14_DasPostExp_1_refined.pdb,14_DasPostExp_1_solution.pdb,0.584
DasPostExp_10,14_DasPostExp_10_refined.pdb,14_DasPostExp_10_solution.pdb,0.656
DasPostExp_2,14_DasPostExp_2_refined.pdb,14_DasPostExp_2_solution.pdb,0.747
DasPostExp_3,14_DasPostExp_3_refined.pdb,14_DasPostExp_3_solution.pdb,0.752
DasPostExp_4,14_DasPostExp_4_refined.pdb,14_DasPostExp_4_solution.pdb,0.670
DasPostExp_5,14_DasPostExp_5_refined.pdb,14_DasPostExp_5_solution.pdb,0.676
DasPostExp_6,14_DasPostExp_6_refined.pdb,14_DasPostExp_6_solution.pdb,0.788
DasPostExp_7,14_DasPostExp_7_refined.pdb,14_DasPostExp_7_solution.pdb,0.670
DasPostExp_8,14_DasPostExp_8_refined.pdb,14_DasPostExp_8_solution.pdb,0.642
DasPostExp_9,14_DasPostExp_9_refined.pdb,14_DasPostExp_9_solution.pdb,0.595
DasPreExp_1,14_DasPreExp_1_refined.pdb,14_DasPreExp_1_solution.pdb,0.788
DasPreExp_10,14_DasPreExp_10_refined.pdb,14_DasPreExp_10_solution.pdb,0.595
DasPreExp_2,14_DasPreExp_2_refined.pdb,14_DasPreExp_2_solution.pdb,0.670
DasPreExp_3,14_DasPreExp_3_refined.pdb,14_DasPreExp_3_solution.pdb,0.647
DasPreExp_4,14_DasPreExp_4_refined.pdb,14_DasPreExp_4_solution.pdb,0.642
DasPreExp_5,14_DasPreExp_5_refined.pdb,14_DasPreExp_5_solution.pdb,0.656
DasPreExp_6,14_DasPreExp_6_refined.pdb,14_DasPreExp_6_solution.pdb,0.584
DasPreExp_7,14_DasPreExp_7_refined.pdb,14_DasPreExp_7_solution.pdb,0.621
DasPreExp_8,14_DasPreExp_8_refined.pdb,14_DasPreExp_8_solution.pdb,0.649
DasPreExp_9,14_DasPreExp_9_refined.pdb,14_DasPreExp_9_solution.pdb,0.732
DingPostExp_1,14_DingPostExp_1_refined.pdb,14_DingPostExp_1_solution.pdb,0.555
DingPostExp_10,14_DingPostExp_10_refined.pdb,14_DingPostExp_10_solution.pdb,0.540
DingPostExp_2,14_DingPostExp_2_refined.pdb,14_DingPostExp_2_solution.pdb,0.531
DingPostExp_3,14_DingPostExp_3_refined.pdb,14_DingPostExp_3_solution.pdb,0.567
DingPostExp_4,14_DingPostExp_4_refined.pdb,14_DingPostExp_4_solution.pdb,0.557
DingPostExp_5,14_DingPostExp_5_refined.pdb,14_DingPostExp_5_solution.pdb,0.544
DingPostExp_6,14_DingPostExp_6_refined.pdb,14_DingPostExp_6_solution.pdb,0.549
DingPostExp_7,14_DingPostExp_7_refined.pdb,14_DingPostExp_7_solution.pdb,0.536
DingPostExp_8,14_DingPostExp_8_refined.pdb,14_DingPostExp_8_solution.pdb,0.581
DingPostExp_9,14_DingPostExp_9_refined.pdb,14_DingPostExp_9_solution.pdb,0.519
DingPreExp_1,14_DingPreExp_1_refined.pdb,14_DingPreExp_1_solution.pdb,0.563
DingPreExp_2,14_DingPreExp_2_refined.pdb,14_DingPreExp_2_solution.pdb,0.532
DingPreExp_3,14_DingPreExp_3_refined.pdb,14_DingPreExp_3_solution.pdb,0.530
DingPreExp_4,14_DingPreExp_4_refined.pdb,14_DingPreExp_4_solution.pdb,0.572
