Lab,Num,DI all
DasLORES,1,4.528
ChenHighLig,2,5.130
ChenLowLig,2,5.130
ChenHighLig,1,5.122
ChenLowLig,1,5.122
DasLORES,2,5.340
Adamiak,4,7.358
Adamiak,3,7.273
ChenHighLig,4,6.818
ChenLowLig,4,6.818
Adamiak,1,7.412
Adamiak,2,7.654
Das,3,7.346
ChenHighLig,3,7.289
ChenLowLig,3,7.289
Das,2,6.892
Das,4,7.235
Das,1,7.443
Adamiak,5,9.688
Das,5,6.915
DasLORES,4,9.022
Bujnicki,4,9.002
Bujnicki,1,9.489
ChenHighLig,5,9.873
ChenLowLig,5,9.873
Bujnicki,2,11.676
DasLORES,5,12.771
SimRNA,4,19.423
SimRNA,2,19.885
SimRNA,1,27.050
Bujnicki,3,27.134
3dRNA,3,22.975
3dRNA,1,32.453
RNAComposer,3,18.837
3dRNA,2,30.843
RNAComposer,4,20.885
SimRNA,3,24.868
SimRNA,5,24.868
Sanbonmatsu,3,28.251
Sanbonmatsu,4,28.251
DasLORES,3,21.056
Sanbonmatsu,1,27.732
Sanbonmatsu,2,27.732
RNAComposer,1,33.037
RW3D,2,28.443
RW3D,10,26.612
RW3D,6,27.888
RNAComposer,5,33.686
3dRNA,5,29.689
RW3D,8,31.086
RW3D,3,31.746
RW3D,1,33.504
RW3D,9,29.259
3dRNA,4,31.805
RW3D,7,30.161
RW3D,5,36.748
RW3D,4,30.323
RNAComposer,2,30.778
Bujnicki,5,51.179
