Lab,Num,P-value
DasLORES,1,8.73e-13
ChenHighLig,2,1.15e-12
ChenLowLig,2,1.15e-12
ChenHighLig,1,3.19e-12
ChenLowLig,1,3.19e-12
DasLORES,2,3.83e-12
Adamiak,4,2.42e-11
Adamiak,3,3.11e-11
ChenHighLig,4,3.34e-11
ChenLowLig,4,3.34e-11
Adamiak,1,3.59e-11
Adamiak,2,3.64e-11
Das,3,4.78e-11
ChenHighLig,3,1.23e-10
ChenLowLig,3,1.23e-10
Das,2,2.24e-10
Das,4,4.17e-10
Das,1,4.71e-10
Adamiak,5,8.64e-10
Das,5,1.79e-09
DasLORES,4,8.17e-09
Bujnicki,4,1.62e-08
Bujnicki,1,5.14e-08
ChenHighLig,5,9.34e-08
ChenLowLig,5,9.34e-08
Bujnicki,2,1.01e-05
DasLORES,5,1.36e-05
SimRNA,4,6.67e-04
SimRNA,2,3.46e-03
SimRNA,1,6.24e-03
Bujnicki,3,7.22e-03
3dRNA,3,8.60e-03
3dRNA,1,9.15e-03
RNAComposer,3,9.46e-03
3dRNA,2,1.40e-02
RNAComposer,4,3.14e-02
SimRNA,3,3.61e-02
SimRNA,5,3.61e-02
Sanbonmatsu,3,8.39e-02
Sanbonmatsu,4,8.39e-02
DasLORES,3,1.21e-01
Sanbonmatsu,1,1.69e-01
Sanbonmatsu,2,1.69e-01
RNAComposer,1,1.83e-01
RW3D,2,4.21e-01
RW3D,10,4.23e-01
RW3D,6,5.94e-01
RNAComposer,5,5.98e-01
3dRNA,5,7.19e-01
RW3D,8,7.34e-01
RW3D,3,7.59e-01
RW3D,1,7.80e-01
RW3D,9,7.92e-01
3dRNA,4,7.98e-01
RW3D,7,8.05e-01
RW3D,5,8.11e-01
RW3D,4,8.25e-01
RNAComposer,2,8.25e-01
Bujnicki,5,9.98e-01
