Lab,Num,P-value
TS229,3,0.00e+00
TS239,3,0.00e+00
TS439,3,0.00e+00
TS229,2,0.00e+00
TS239,2,0.00e+00
TS081,2,7.11e-15
TS147,4,1.85e-14
TS147,3,9.73e-14
TS119,2,1.15e-13
TS119,3,4.69e-13
TS081,1,5.31e-12
TS081,3,7.13e-12
TS392,1,1.30e-11
TS081,4,4.05e-11
TS119,4,8.76e-11
TS287,1,1.42e-10
TS392,4,1.95e-10
TS119,5,2.07e-10
TS439,1,2.16e-10
TS287,3,7.41e-10
TS392,3,1.14e-09
TS232,2,2.15e-09
TS232,1,2.26e-09
TS035,4,4.00e-09
TS035,5,4.00e-09
TS232,3,5.42e-09
TS494,3,7.53e-09
TS494,4,7.62e-09
TS494,2,7.75e-09
TS494,1,7.80e-09
TS229,1,8.30e-09
TS239,1,8.30e-09
TS119,1,8.73e-09
TS131,5,8.86e-09
TS392,5,8.89e-09
TS444,2,1.00e-08
TS029,2,3.06e-08
TS235,2,3.42e-08
TS232,5,5.43e-08
TS238,1,5.98e-08
TS227,2,1.34e-07
TS470,5,1.60e-07
TS489,5,1.60e-07
TS081,5,2.08e-07
TS392,2,2.60e-07
TS147,2,5.07e-07
TS235,3,9.95e-07
TS287,2,1.13e-06
TS238,2,1.68e-06
TS470,4,2.26e-06
TS489,4,2.26e-06
TS177,3,8.65e-06
TS439,2,9.61e-06
TS035,3,9.88e-06
TS444,1,1.04e-05
TS131,1,1.07e-05
TS444,5,1.08e-05
TS177,1,1.18e-05
TS287,4,2.40e-05
TS434,4,5.99e-05
TS232,4,8.42e-05
TS235,5,9.80e-05
TS257,2,9.88e-05
TS131,3,1.17e-04
TS235,4,1.46e-04
TS257,5,1.62e-04
TS227,1,1.74e-04
TS147,5,1.79e-04
TS257,4,1.98e-04
TS185,5,2.23e-04
TS245,2,2.77e-04
TS444,3,3.08e-04
TS257,1,3.34e-04
TS470,1,3.35e-04
TS489,1,3.35e-04
TS131,2,3.41e-04
TS494,5,3.68e-04
TS076,5,3.73e-04
TS229,4,4.13e-04
TS239,4,4.13e-04
TS439,4,4.13e-04
TS470,3,4.68e-04
TS489,3,4.68e-04
TS245,5,5.62e-04
TS257,3,6.79e-04
TS235,1,8.00e-04
TS227,4,9.02e-04
TS076,1,1.36e-03
TS076,4,1.51e-03
TS227,3,1.68e-03
TS097,2,1.72e-03
TS245,3,2.29e-03
TS076,2,2.38e-03
TS131,4,2.48e-03
TS444,4,2.89e-03
TS287,5,2.92e-03
TS245,1,3.85e-03
TS385,1,3.85e-03
TS035,1,5.71e-03
TS035,2,5.71e-03
TS245,4,7.31e-03
TS434,2,8.64e-03
TS227,5,9.58e-03
TS229,5,1.08e-02
TS239,5,1.08e-02
TS439,5,1.08e-02
TS177,2,1.15e-02
TS054,5,2.15e-02
TS248,4,2.94e-02
TS054,1,3.05e-02
TS054,2,3.05e-02
TS054,3,3.05e-02
TS054,4,3.05e-02
TS125,1,3.05e-02
TS125,2,3.05e-02
TS125,3,3.05e-02
TS125,4,3.05e-02
TS125,5,3.05e-02
TS185,4,3.24e-02
TS434,3,3.24e-02
TS248,5,3.36e-02
TS185,2,3.54e-02
TS185,3,5.02e-02
TS076,3,5.49e-02
TS248,3,7.20e-02
TS029,3,7.77e-02
TS470,2,1.04e-01
TS489,2,1.04e-01
TS248,1,1.04e-01
TS248,2,1.09e-01
TS185,1,1.10e-01
TS147,1,1.19e-01
TS029,1,1.47e-01
TS434,5,1.62e-01
TS097,1,4.95e-01
TS434,1,6.84e-01
