Lab,Num,INF stacking
TS229,3,0.591
TS239,3,0.591
TS439,3,0.591
TS229,2,0.613
TS239,2,0.613
TS081,2,0.555
TS147,4,0.465
TS147,3,0.507
TS119,2,0.632
TS119,3,0.632
TS081,1,0.561
TS081,3,0.579
TS392,1,0.550
TS081,4,0.552
TS119,4,0.649
TS287,1,0.589
TS392,4,0.562
TS119,5,0.614
TS439,1,0.348
TS287,3,0.630
TS392,3,0.596
TS232,2,0.664
TS232,1,0.643
TS035,4,0.561
TS035,5,0.561
TS232,3,0.574
TS494,3,0.684
TS494,4,0.689
TS494,2,0.695
TS494,1,0.695
TS229,1,0.548
TS239,1,0.548
TS119,1,0.657
TS131,5,0.640
TS392,5,0.558
TS444,2,0.657
TS029,2,0.409
TS235,2,0.512
TS232,5,0.626
TS238,1,0.561
TS227,2,0.529
TS470,5,0.561
TS489,5,0.561
TS081,5,0.574
TS392,2,0.581
TS147,2,0.592
TS235,3,0.557
TS287,2,0.626
TS238,2,0.514
TS470,4,0.573
TS489,4,0.573
TS177,3,0.476
TS439,2,0.355
TS035,3,0.597
TS444,1,0.672
TS131,1,0.650
TS444,5,0.638
TS177,1,0.516
TS287,4,0.586
TS434,4,0.532
TS232,4,0.641
TS235,5,0.526
TS257,2,0.559
TS131,3,0.662
TS235,4,0.541
TS257,5,0.596
TS227,1,0.591
TS147,5,0.537
TS257,4,0.621
TS185,5,0.545
TS245,2,0.476
TS444,3,0.629
TS257,1,0.567
TS470,1,0.512
TS489,1,0.512
TS131,2,0.622
TS494,5,0.603
TS076,5,0.588
TS229,4,0.561
TS239,4,0.561
TS439,4,0.561
TS470,3,0.552
TS489,3,0.552
TS245,5,0.495
TS257,3,0.601
TS235,1,0.592
TS227,4,0.561
TS076,1,0.601
TS076,4,0.592
TS227,3,0.499
TS097,2,0.274
TS245,3,0.517
TS076,2,0.583
TS131,4,0.640
TS444,4,0.617
TS287,5,0.601
TS245,1,0.458
TS385,1,0.458
TS035,1,0.600
TS035,2,0.600
TS245,4,0.504
TS434,2,0.424
TS227,5,0.417
TS229,5,0.608
TS239,5,0.608
TS439,5,0.608
TS177,2,0.440
TS054,5,0.581
TS248,4,0.190
TS054,1,0.594
TS054,2,0.594
TS054,3,0.594
TS054,4,0.594
TS125,1,0.594
TS125,2,0.594
TS125,3,0.594
TS125,4,0.594
TS125,5,0.594
TS185,4,0.534
TS434,3,0.529
TS248,5,0.187
TS185,2,0.487
TS185,3,0.517
TS076,3,0.538
TS248,3,0.178
TS029,3,0.420
TS470,2,0.605
TS489,2,0.605
TS248,1,0.188
TS248,2,0.190
TS185,1,0.545
TS147,1,0.370
TS029,1,0.443
TS434,5,0.502
TS097,1,0.447
TS434,1,0.405
