Lab,Num,INF wc
TS229,3,0.770
TS239,3,0.770
TS439,3,0.770
TS229,2,0.729
TS239,2,0.729
TS081,2,0.810
TS147,4,0.546
TS147,3,0.648
TS119,2,0.720
TS119,3,0.709
TS081,1,0.810
TS081,3,0.810
TS392,1,0.728
TS081,4,0.810
TS119,4,0.751
TS287,1,0.784
TS392,4,0.756
TS119,5,0.666
TS439,1,0.386
TS287,3,0.810
TS392,3,0.728
TS232,2,0.567
TS232,1,0.567
TS035,4,0.561
TS035,5,0.561
TS232,3,0.577
TS494,3,0.732
TS494,4,0.751
TS494,2,0.732
TS494,1,0.781
TS229,1,0.701
TS239,1,0.701
TS119,1,0.620
TS131,5,0.693
TS392,5,0.742
TS444,2,0.813
TS029,2,0.000
TS235,2,0.370
TS232,5,0.567
TS238,1,0.709
TS227,2,0.619
TS470,5,0.556
TS489,5,0.556
TS081,5,0.810
TS392,2,0.728
TS147,2,0.694
TS235,3,0.764
TS287,2,0.784
TS238,2,0.329
TS470,4,0.592
TS489,4,0.592
TS177,3,0.608
TS439,2,0.408
TS035,3,0.690
TS444,1,0.813
TS131,1,0.688
TS444,5,0.798
TS177,1,0.553
TS287,4,0.784
TS434,4,0.674
TS232,4,0.567
TS235,5,0.682
TS257,2,0.698
TS131,3,0.642
TS235,4,0.483
TS257,5,0.757
TS227,1,0.627
TS147,5,0.689
TS257,4,0.651
TS185,5,0.762
TS245,2,0.567
TS444,3,0.786
TS257,1,0.701
TS470,1,0.488
TS489,1,0.488
TS131,2,0.620
TS494,5,0.620
TS076,5,0.727
TS229,4,0.770
TS239,4,0.770
TS439,4,0.770
TS470,3,0.655
TS489,3,0.655
TS245,5,0.364
TS257,3,0.667
TS235,1,0.449
TS227,4,0.701
TS076,1,0.518
TS076,4,0.531
TS227,3,0.617
TS097,2,0.501
TS245,3,0.605
TS076,2,0.531
TS131,4,0.630
TS444,4,0.813
TS287,5,0.810
TS245,1,0.592
TS385,1,0.592
TS035,1,0.582
TS035,2,0.582
TS245,4,0.552
TS434,2,0.465
TS227,5,0.567
TS229,5,0.701
TS239,5,0.701
TS439,5,0.701
TS177,2,0.372
TS054,5,0.760
TS248,4,0.000
TS054,1,0.682
TS054,2,0.682
TS054,3,0.682
TS054,4,0.682
TS125,1,0.682
TS125,2,0.682
TS125,3,0.682
TS125,4,0.682
TS125,5,0.682
TS185,4,0.741
TS434,3,0.624
TS248,5,0.000
TS185,2,0.701
TS185,3,0.732
TS076,3,0.511
TS248,3,0.000
TS029,3,0.058
TS470,2,0.463
TS489,2,0.463
TS248,1,0.000
TS248,2,0.000
TS185,1,0.751
TS147,1,0.463
TS029,1,0.169
TS434,5,0.608
TS097,1,0.786
TS434,1,0.524
