Lab,Num,INF all
RNAComposerAS1,3,0.908
Chen,1,0.970
RW3DAS2,6,0.877
RW3DAS2,7,0.841
RW3DAS2,8,0.860
RNAComposerAS2,8,0.770
Szachniuk,8,0.770
RW3DAS2,1,0.877
3dRNAAS2,6,0.877
RNAComposerAS1,8,0.892
RNAComposerAS2,10,0.770
Szachniuk,10,0.770
RNAComposerAS2,5,0.679
Szachniuk,5,0.679
RNAComposerAS1,6,0.810
RNAComposerAS2,3,0.825
Szachniuk,3,0.825
RNAComposerAS2,1,0.789
Szachniuk,1,0.789
RNAComposerAS2,4,0.789
Szachniuk,4,0.789
RNAComposerAS2,7,0.740
Szachniuk,7,0.740
RNAComposerAS1,5,0.796
RNAComposerAS1,4,0.810
RNAComposerAS2,6,0.841
Szachniuk,6,0.841
RNAComposerAS1,7,0.828
RNAComposerAS1,9,0.796
RNAComposerAS1,1,0.796
RNAComposerAS1,2,0.819
RNAComposerAS2,9,0.745
Szachniuk,9,0.745
3dRNAAS2,7,0.843
3dRNAAS2,8,0.843
Lee,2,0.720
RNAComposerAS2,2,0.840
Szachniuk,2,0.840
Lee,4,0.716
SimRNAAS1,1,0.667
Lee,6,0.701
3dRNAAS2,10,0.751
3dRNAAS2,9,0.751
RW3DAS2,10,0.713
SimRNAAS2,1,0.678
Lee,7,0.720
Lee,1,0.713
3dRNAAS2,5,0.748
Lee,3,0.740
SimRNAAS2,3,0.626
RW3DAS1,3,0.583
RW3DAS2,9,0.637
RW3DAS1,4,0.573
3dRNAAS2,2,0.841
3dRNAAS2,3,0.841
RW3DAS1,2,0.626
RW3DAS1,10,0.637
RW3DAS2,2,0.774
RW3DAS1,8,0.626
RW3DAS1,7,0.605
SimRNAAS1,2,0.594
RW3DAS2,5,0.740
SimRNAAS2,2,0.720
RW3DAS1,5,0.541
RW3DAS1,1,0.637
3dRNAAS2,4,0.841
RW3DAS1,9,0.616
RW3DAS2,3,0.637
Lee,5,0.728
Lee,10,0.648
Lee,8,0.740
SimRNAAS1,3,0.573
RW3DAS2,4,0.686
3dRNAAS2,1,0.858
RW3DAS1,6,0.583
Chen,4,0.608
Chen,3,0.643
Lee,9,0.726
Chen,10,0.475
Chen,9,0.275
Chen,8,0.283
Chen,6,0.472
Chen,7,0.393
