Lab,Num,RMSD
RNAComposerAS1,3,1.235
Chen,1,1.450
RW3DAS2,6,1.523
RW3DAS2,7,1.661
RW3DAS2,8,1.688
RNAComposerAS2,8,1.881
Szachniuk,8,1.881
RW3DAS2,1,1.906
3dRNAAS2,6,1.920
RNAComposerAS1,8,2.041
RNAComposerAS2,10,2.041
Szachniuk,10,2.041
RNAComposerAS2,5,2.209
Szachniuk,5,2.209
RNAComposerAS1,6,2.214
RNAComposerAS2,3,2.217
Szachniuk,3,2.217
RNAComposerAS2,1,2.258
Szachniuk,1,2.258
RNAComposerAS2,4,2.360
Szachniuk,4,2.360
RNAComposerAS2,7,2.381
Szachniuk,7,2.381
RNAComposerAS1,5,2.405
RNAComposerAS1,4,2.407
RNAComposerAS2,6,2.430
Szachniuk,6,2.430
RNAComposerAS1,7,2.609
RNAComposerAS1,9,2.718
RNAComposerAS1,1,2.751
RNAComposerAS1,2,2.802
RNAComposerAS2,9,2.813
Szachniuk,9,2.813
3dRNAAS2,7,2.912
3dRNAAS2,8,2.912
Lee,2,3.551
RNAComposerAS2,2,3.716
Szachniuk,2,3.716
Lee,4,3.957
SimRNAAS1,1,4.339
Lee,6,4.416
3dRNAAS2,10,4.445
3dRNAAS2,9,4.445
RW3DAS2,10,4.470
SimRNAAS2,1,4.508
Lee,7,4.558
Lee,1,4.605
3dRNAAS2,5,4.708
Lee,3,4.711
SimRNAAS2,3,4.758
RW3DAS1,3,4.786
RW3DAS2,9,4.805
RW3DAS1,4,4.817
3dRNAAS2,2,4.833
3dRNAAS2,3,4.833
RW3DAS1,2,4.844
RW3DAS1,10,4.852
RW3DAS2,2,4.852
RW3DAS1,8,4.888
RW3DAS1,7,4.896
SimRNAAS1,2,4.898
RW3DAS2,5,4.901
SimRNAAS2,2,4.912
RW3DAS1,5,4.993
RW3DAS1,1,5.038
3dRNAAS2,4,5.091
RW3DAS1,9,5.217
RW3DAS2,3,5.247
Lee,5,5.288
Lee,10,5.383
Lee,8,5.405
SimRNAAS1,3,5.482
RW3DAS2,4,5.557
3dRNAAS2,1,5.729
RW3DAS1,6,5.790
Chen,4,7.254
Chen,3,7.344
Lee,9,8.410
Chen,10,15.237
Chen,9,15.496
Chen,8,15.750
Chen,6,15.926
Chen,7,16.867
