Lab,Num,TM-score
RNAComposerAS1,3,0.5090
Chen,1,0.4390
RW3DAS2,6,0.3810
RW3DAS2,7,0.2710
RW3DAS2,8,0.3370
RNAComposerAS2,8,0.3030
Szachniuk,8,0.3030
RW3DAS2,1,0.2460
3dRNAAS2,6,0.3150
RNAComposerAS1,8,0.3280
RNAComposerAS2,10,0.3260
Szachniuk,10,0.3260
RNAComposerAS2,5,0.3050
Szachniuk,5,0.3050
RNAComposerAS1,6,0.2980
RNAComposerAS2,3,0.2830
Szachniuk,3,0.2830
RNAComposerAS2,1,0.2610
Szachniuk,1,0.2610
RNAComposerAS2,4,0.2690
Szachniuk,4,0.2690
RNAComposerAS2,7,0.2810
Szachniuk,7,0.2810
RNAComposerAS1,5,0.3060
RNAComposerAS1,4,0.3120
RNAComposerAS2,6,0.3230
Szachniuk,6,0.3230
RNAComposerAS1,7,0.2870
RNAComposerAS1,9,0.2580
RNAComposerAS1,1,0.2810
RNAComposerAS1,2,0.2700
RNAComposerAS2,9,0.2350
Szachniuk,9,0.2350
3dRNAAS2,7,0.3070
3dRNAAS2,8,0.3070
Lee,2,0.2930
RNAComposerAS2,2,0.4200
Szachniuk,2,0.4200
Lee,4,0.2490
SimRNAAS1,1,0.2120
Lee,6,0.2530
3dRNAAS2,10,0.3000
3dRNAAS2,9,0.3000
RW3DAS2,10,0.2510
SimRNAAS2,1,0.2340
Lee,7,0.2620
Lee,1,0.2600
3dRNAAS2,5,0.2990
Lee,3,0.2730
SimRNAAS2,3,0.2160
RW3DAS1,3,0.2600
RW3DAS2,9,0.2660
RW3DAS1,4,0.2490
3dRNAAS2,2,0.3060
3dRNAAS2,3,0.3060
RW3DAS1,2,0.2600
RW3DAS1,10,0.2720
RW3DAS2,2,0.2700
RW3DAS1,8,0.2450
RW3DAS1,7,0.2670
SimRNAAS1,2,0.2230
RW3DAS2,5,0.2680
SimRNAAS2,2,0.2570
RW3DAS1,5,0.2740
RW3DAS1,1,0.2370
3dRNAAS2,4,0.2970
RW3DAS1,9,0.2440
RW3DAS2,3,0.2520
Lee,5,0.2910
Lee,10,0.2220
Lee,8,0.2570
SimRNAAS1,3,0.1500
RW3DAS2,4,0.2740
3dRNAAS2,1,0.3140
RW3DAS1,6,0.2180
Chen,4,0.2010
Chen,3,0.2290
Lee,9,0.2120
Chen,10,0.1720
Chen,9,0.1080
Chen,8,0.1170
Chen,6,0.1170
Chen,7,0.1300
