Lab,Num,INF wc
RNAComposerAS1,3,1.000
Chen,1,1.000
RW3DAS2,6,0.913
RW3DAS2,7,0.913
RW3DAS2,8,0.913
RNAComposerAS2,8,0.913
Szachniuk,8,0.913
RW3DAS2,1,1.000
3dRNAAS2,6,0.913
RNAComposerAS1,8,1.000
RNAComposerAS2,10,0.913
Szachniuk,10,0.913
RNAComposerAS2,5,0.913
Szachniuk,5,0.913
RNAComposerAS1,6,1.000
RNAComposerAS2,3,0.913
Szachniuk,3,0.913
RNAComposerAS2,1,0.913
Szachniuk,1,0.913
RNAComposerAS2,4,0.913
Szachniuk,4,0.913
RNAComposerAS2,7,0.913
Szachniuk,7,0.913
RNAComposerAS1,5,1.000
RNAComposerAS1,4,1.000
RNAComposerAS2,6,0.913
Szachniuk,6,0.913
RNAComposerAS1,7,1.000
RNAComposerAS1,9,0.926
RNAComposerAS1,1,0.926
RNAComposerAS1,2,0.926
RNAComposerAS2,9,0.913
Szachniuk,9,0.913
3dRNAAS2,7,0.913
3dRNAAS2,8,0.913
Lee,2,0.775
RNAComposerAS2,2,0.913
Szachniuk,2,0.913
Lee,4,0.775
SimRNAAS1,1,0.645
Lee,6,0.775
3dRNAAS2,10,0.707
3dRNAAS2,9,0.707
RW3DAS2,10,0.833
SimRNAAS2,1,0.775
Lee,7,0.775
Lee,1,0.816
3dRNAAS2,5,0.707
Lee,3,0.816
SimRNAAS2,3,0.775
RW3DAS1,3,0.645
RW3DAS2,9,0.722
RW3DAS1,4,0.645
3dRNAAS2,2,0.913
3dRNAAS2,3,0.913
RW3DAS1,2,0.645
RW3DAS1,10,0.722
RW3DAS2,2,0.833
RW3DAS1,8,0.680
RW3DAS1,7,0.680
SimRNAAS1,2,0.680
RW3DAS2,5,0.833
SimRNAAS2,2,0.816
RW3DAS1,5,0.680
RW3DAS1,1,0.680
3dRNAAS2,4,0.913
RW3DAS1,9,0.645
RW3DAS2,3,0.772
Lee,5,0.775
Lee,10,0.816
Lee,8,0.866
SimRNAAS1,3,0.645
RW3DAS2,4,0.913
3dRNAAS2,1,0.913
RW3DAS1,6,0.680
Chen,4,0.913
Chen,3,0.913
Lee,9,0.866
Chen,10,0.000
Chen,9,0.000
Chen,8,0.000
Chen,6,0.000
Chen,7,0.000
