Lab,Num,P-value
RNAComposerAS1,3,1.04e-09
Chen,1,2.16e-09
RW3DAS2,6,2.75e-09
RW3DAS2,7,4.34e-09
RW3DAS2,8,4.74e-09
RNAComposerAS2,8,8.87e-09
Szachniuk,8,8.87e-09
RW3DAS2,1,9.63e-09
3dRNAAS2,6,1.01e-08
RNAComposerAS1,8,1.48e-08
RNAComposerAS2,10,1.48e-08
Szachniuk,10,1.48e-08
RNAComposerAS2,5,2.52e-08
Szachniuk,5,2.52e-08
RNAComposerAS1,6,2.56e-08
RNAComposerAS2,3,2.58e-08
Szachniuk,3,2.58e-08
RNAComposerAS2,1,2.93e-08
Szachniuk,1,2.93e-08
RNAComposerAS2,4,4.02e-08
Szachniuk,4,4.02e-08
RNAComposerAS2,7,4.28e-08
Szachniuk,7,4.28e-08
RNAComposerAS1,5,4.62e-08
RNAComposerAS1,4,4.64e-08
RNAComposerAS2,6,4.98e-08
Szachniuk,6,4.98e-08
RNAComposerAS1,7,8.56e-08
RNAComposerAS1,9,1.19e-07
RNAComposerAS1,1,1.31e-07
RNAComposerAS1,2,1.52e-07
RNAComposerAS2,9,1.57e-07
Szachniuk,9,1.57e-07
3dRNAAS2,7,2.10e-07
3dRNAAS2,8,2.10e-07
Lee,2,1.27e-06
RNAComposerAS2,2,1.98e-06
Szachniuk,2,1.98e-06
Lee,4,3.75e-06
SimRNAAS1,1,9.91e-06
Lee,6,1.20e-05
3dRNAAS2,10,1.29e-05
3dRNAAS2,9,1.29e-05
RW3DAS2,10,1.37e-05
SimRNAAS2,1,1.50e-05
Lee,7,1.70e-05
Lee,1,1.90e-05
3dRNAAS2,5,2.43e-05
Lee,3,2.45e-05
SimRNAAS2,3,2.74e-05
RW3DAS1,3,2.92e-05
RW3DAS2,9,3.06e-05
RW3DAS1,4,3.15e-05
3dRNAAS2,2,3.27e-05
3dRNAAS2,3,3.27e-05
RW3DAS1,2,3.36e-05
RW3DAS1,10,3.42e-05
RW3DAS2,2,3.42e-05
RW3DAS1,8,3.71e-05
RW3DAS1,7,3.79e-05
SimRNAAS1,2,3.81e-05
RW3DAS2,5,3.83e-05
SimRNAAS2,2,3.93e-05
RW3DAS1,5,4.74e-05
RW3DAS1,1,5.26e-05
3dRNAAS2,4,5.92e-05
RW3DAS1,9,7.87e-05
RW3DAS2,3,8.41e-05
Lee,5,9.22e-05
Lee,10,1.14e-04
Lee,8,1.19e-04
SimRNAAS1,3,1.40e-04
RW3DAS2,4,1.65e-04
3dRNAAS2,1,2.37e-04
RW3DAS1,6,2.69e-04
Chen,4,4.06e-03
Chen,3,4.69e-03
Lee,9,2.25e-02
Chen,10,9.63e-01
Chen,9,9.73e-01
Chen,8,9.81e-01
Chen,6,9.85e-01
Chen,7,9.97e-01
