Lab,Num,Clash Score
RNAComposerAS1,3,12.570
Chen,1,0.000
RW3DAS2,6,13.680
RW3DAS2,7,9.120
RW3DAS2,8,6.840
RNAComposerAS2,8,17.140
Szachniuk,8,17.140
RW3DAS2,1,13.680
3dRNAAS2,6,0.000
RNAComposerAS1,8,4.570
RNAComposerAS2,10,11.430
Szachniuk,10,11.430
RNAComposerAS2,5,13.710
Szachniuk,5,13.710
RNAComposerAS1,6,5.710
RNAComposerAS2,3,9.140
Szachniuk,3,9.140
RNAComposerAS2,1,10.290
Szachniuk,1,10.290
RNAComposerAS2,4,11.430
Szachniuk,4,11.430
RNAComposerAS2,7,3.430
Szachniuk,7,3.430
RNAComposerAS1,5,9.140
RNAComposerAS1,4,14.860
RNAComposerAS2,6,9.140
Szachniuk,6,9.140
RNAComposerAS1,7,4.570
RNAComposerAS1,9,17.140
RNAComposerAS1,1,3.430
RNAComposerAS1,2,8.000
RNAComposerAS2,9,14.860
Szachniuk,9,14.860
3dRNAAS2,7,0.000
3dRNAAS2,8,0.000
Lee,2,0.000
RNAComposerAS2,2,9.140
Szachniuk,2,9.140
Lee,4,0.000
SimRNAAS1,1,45.610
Lee,6,0.000
3dRNAAS2,10,6.860
3dRNAAS2,9,6.860
RW3DAS2,10,4.560
SimRNAAS2,1,57.080
Lee,7,0.000
Lee,1,0.000
3dRNAAS2,5,2.290
Lee,3,0.000
SimRNAAS2,3,58.090
RW3DAS1,3,5.700
RW3DAS2,9,7.980
RW3DAS1,4,6.840
3dRNAAS2,2,44.570
3dRNAAS2,3,44.570
RW3DAS1,2,6.840
RW3DAS1,10,3.420
RW3DAS2,2,2.280
RW3DAS1,8,7.980
RW3DAS1,7,2.280
SimRNAAS1,2,58.150
RW3DAS2,5,2.280
SimRNAAS2,2,66.060
RW3DAS1,5,4.560
RW3DAS1,1,1.140
3dRNAAS2,4,0.000
RW3DAS1,9,4.560
RW3DAS2,3,5.700
Lee,5,0.000
Lee,10,0.000
Lee,8,0.000
SimRNAAS1,3,92.260
RW3DAS2,4,13.680
3dRNAAS2,1,0.000
RW3DAS1,6,2.280
Chen,4,0.000
Chen,3,0.000
Lee,9,0.000
Chen,10,1.140
Chen,9,0.000
Chen,8,0.000
Chen,6,1.140
Chen,7,0.000
