Lab,Num,INF stacking
RNAComposerAS1,3,0.938
Chen,1,0.980
RW3DAS2,6,0.895
RW3DAS2,7,0.826
RW3DAS2,8,0.895
RNAComposerAS2,8,0.776
Szachniuk,8,0.776
RW3DAS2,1,0.850
3dRNAAS2,6,0.853
RNAComposerAS1,8,0.873
RNAComposerAS2,10,0.776
Szachniuk,10,0.776
RNAComposerAS2,5,0.660
Szachniuk,5,0.660
RNAComposerAS1,6,0.786
RNAComposerAS2,3,0.850
Szachniuk,3,0.850
RNAComposerAS2,1,0.776
Szachniuk,1,0.776
RNAComposerAS2,4,0.826
Szachniuk,4,0.826
RNAComposerAS2,7,0.734
Szachniuk,7,0.734
RNAComposerAS1,5,0.760
RNAComposerAS1,4,0.760
RNAComposerAS2,6,0.872
Szachniuk,6,0.872
RNAComposerAS1,7,0.786
RNAComposerAS1,9,0.805
RNAComposerAS1,1,0.786
RNAComposerAS1,2,0.810
RNAComposerAS2,9,0.742
Szachniuk,9,0.742
3dRNAAS2,7,0.805
3dRNAAS2,8,0.805
Lee,2,0.760
RNAComposerAS2,2,0.849
Szachniuk,2,0.849
Lee,4,0.751
SimRNAAS1,1,0.742
Lee,6,0.734
3dRNAAS2,10,0.728
3dRNAAS2,9,0.728
RW3DAS2,10,0.760
SimRNAAS2,1,0.716
Lee,7,0.760
Lee,1,0.734
3dRNAAS2,5,0.723
Lee,3,0.776
SimRNAAS2,3,0.660
RW3DAS1,3,0.631
RW3DAS2,9,0.671
RW3DAS1,4,0.613
3dRNAAS2,2,0.801
3dRNAAS2,3,0.801
RW3DAS1,2,0.688
RW3DAS1,10,0.688
RW3DAS2,2,0.776
RW3DAS1,8,0.671
RW3DAS1,7,0.642
SimRNAAS1,2,0.650
RW3DAS2,5,0.728
SimRNAAS2,2,0.780
RW3DAS1,5,0.566
RW3DAS1,1,0.688
3dRNAAS2,4,0.801
RW3DAS1,9,0.671
RW3DAS2,3,0.655
Lee,5,0.768
Lee,10,0.660
Lee,8,0.754
SimRNAAS1,3,0.613
RW3DAS2,4,0.650
3dRNAAS2,1,0.826
RW3DAS1,6,0.631
Chen,4,0.582
Chen,3,0.603
Lee,9,0.754
Chen,10,0.613
Chen,9,0.362
Chen,8,0.404
Chen,6,0.620
Chen,7,0.577
