Lab,Num,INF nwc
Ding,12,0.000
Ding,11,0.000
Bujnicki,8,0.000
Das,7,0.600
Bujnicki,3,0.632
Bujnicki,10,0.000
Bujnicki,5,0.000
Das,8,0.316
Das,2,0.447
Das,5,0.000
Adamiak,3,0.000
Das,6,0.258
Adamiak,2,0.000
Ding,8,0.000
Bujnicki,7,0.000
Bujnicki,9,0.000
Das,9,0.000
Ding,1,0.000
Das,3,0.447
Das,1,0.258
Bujnicki,4,0.447
Ding,4,0.000
Adamiak,1,0.000
Bujnicki,6,0.000
Ding,9,0.000
Ding,6,0.000
Chen,4,0.447
Das,10,0.516
Ding,3,0.000
Ding,7,0.000
Bujnicki,2,0.000
Chen,8,0.447
Das,4,0.316
Chen,9,0.143
Chen,2,0.447
Ding,10,0.000
Ding,2,0.189
Chen,3,0.000
Chen,10,0.000
Chen,5,0.447
Chen,6,0.000
Kevin,3,0.000
Ding,5,0.000
Kevin,2,0.000
Chen,7,0.447
Bujnicki,1,0.316
Kevin,1,0.000
Chen,1,0.447
Xiao,1,0.000
Xiao,2,0.000
Xiao,3,0.000
