Lab,Num,P-value
Ding,12,0.00e+00
Ding,11,0.00e+00
Bujnicki,8,0.00e+00
Das,7,0.00e+00
Bujnicki,3,0.00e+00
Bujnicki,10,0.00e+00
Bujnicki,5,0.00e+00
Das,8,0.00e+00
Das,2,0.00e+00
Das,5,0.00e+00
Adamiak,3,0.00e+00
Das,6,0.00e+00
Adamiak,2,0.00e+00
Ding,8,0.00e+00
Bujnicki,7,0.00e+00
Bujnicki,9,0.00e+00
Das,9,0.00e+00
Ding,1,0.00e+00
Das,3,0.00e+00
Das,1,0.00e+00
Bujnicki,4,0.00e+00
Ding,4,0.00e+00
Adamiak,1,0.00e+00
Bujnicki,6,0.00e+00
Ding,9,0.00e+00
Ding,6,0.00e+00
Chen,4,5.55e-17
Das,10,1.22e-15
Ding,3,2.55e-14
Ding,7,4.55e-14
Bujnicki,2,1.14e-13
Chen,8,2.85e-13
Das,4,3.45e-13
Chen,9,9.08e-13
Chen,2,3.20e-12
Ding,10,6.49e-12
Ding,2,6.68e-12
Chen,3,3.87e-11
Chen,10,6.23e-11
Chen,5,9.28e-11
Chen,6,1.20e-10
Kevin,3,2.64e-10
Ding,5,2.95e-10
Kevin,2,6.62e-10
Chen,7,7.25e-10
Bujnicki,1,1.77e-09
Kevin,1,2.76e-09
Chen,1,3.24e-09
Xiao,1,2.17e-01
Xiao,2,2.21e-01
Xiao,3,9.99e-01
