Lab,Num,P-value
Chen,5,0.00e+00
Chen,2,0.00e+00
Chen,4,0.00e+00
Bujnicki,3,0.00e+00
Adamiak,7,0.00e+00
Bujnicki,4,5.55e-17
Bujnicki,1,5.55e-17
Chen,1,5.55e-17
Ding,5,3.33e-16
Adamiak,5,3.89e-16
Ding,9,2.05e-15
Das,10,2.89e-15
Ding,10,3.66e-15
Adamiak,1,5.99e-15
Ding,3,6.11e-15
Chen,3,7.77e-15
Bujnicki,8,1.15e-14
Ding,8,1.54e-14
Adamiak,6,2.60e-14
Bujnicki,9,3.25e-14
Adamiak,10,3.56e-14
Adamiak,3,3.60e-14
Bujnicki,10,6.42e-14
Bujnicki,5,7.19e-14
NMR,1,1.23e-13
Ding,4,2.15e-13
Chen,9,3.46e-13
Das,7,3.67e-13
Das,5,1.26e-12
Das,2,1.69e-12
Chen,6,1.72e-12
Chen,8,2.18e-12
Ding,1,2.19e-12
Das,4,2.75e-12
Das,1,3.36e-12
Ding,7,3.57e-12
Adamiak,9,5.33e-12
Das,6,1.03e-11
Xiao,2,1.06e-11
Das,3,1.41e-11
Bujnicki,6,2.40e-11
Adamiak,2,2.46e-11
Bujnicki,7,4.50e-11
Chen,7,6.35e-11
Chen,10,1.14e-10
Xiao,3,2.28e-09
Adamiak,8,2.82e-09
Das,8,3.12e-09
Ding,6,4.56e-09
Xiao,1,7.40e-09
Adamiak,4,3.51e-08
Ding,2,7.79e-08
Bujnicki,2,1.07e-03
Das,9,3.51e-03
