Lab,Num,DI all
Chen,5,5.852
Chen,2,6.226
Chen,4,6.333
Bujnicki,3,6.875
Adamiak,7,7.026
Bujnicki,4,7.615
Bujnicki,1,7.559
Chen,1,7.340
Ding,5,9.202
Adamiak,5,7.818
Ding,9,9.242
Das,10,7.958
Ding,10,9.382
Adamiak,1,9.343
Ding,3,9.317
Chen,3,8.623
Bujnicki,8,10.409
Ding,8,9.141
Adamiak,6,9.882
Bujnicki,9,9.435
Adamiak,10,10.534
Adamiak,3,10.517
Bujnicki,10,11.399
Bujnicki,5,10.470
NMR,1,9.414
Ding,4,10.177
Chen,9,9.869
Das,7,10.345
Das,5,11.618
Das,2,10.281
Chen,6,10.521
Chen,8,10.097
Ding,1,11.643
Das,4,9.827
Das,1,10.732
Ding,7,11.068
Adamiak,9,11.213
Das,6,11.871
Xiao,2,11.792
Das,3,10.904
Bujnicki,6,12.318
Adamiak,2,12.690
Bujnicki,7,13.244
Chen,7,11.631
Chen,10,11.696
Xiao,3,14.035
Adamiak,8,14.371
Das,8,12.814
Ding,6,13.303
Xiao,1,14.914
Adamiak,4,15.751
Ding,2,14.697
Bujnicki,2,22.810
Das,9,21.424
