Lab,Num,P-value
Das,3,0.00e+00
Das,1,0.00e+00
Bujnicki,7,0.00e+00
Bujnicki,9,0.00e+00
Das,2,0.00e+00
Das,6,0.00e+00
Das,4,0.00e+00
Bujnicki,10,0.00e+00
Das,5,0.00e+00
Bujnicki,5,0.00e+00
Chen,3,0.00e+00
Chen,9,0.00e+00
Bujnicki,3,0.00e+00
Ding,3,0.00e+00
Ding,10,0.00e+00
Bujnicki,8,0.00e+00
Chen,5,0.00e+00
Chen,6,0.00e+00
Bujnicki,6,0.00e+00
Bujnicki,2,0.00e+00
Ding,1,0.00e+00
Chen,10,0.00e+00
Bujnicki,4,0.00e+00
Bujnicki,1,0.00e+00
Ding,5,0.00e+00
Ding,7,0.00e+00
Chen,2,0.00e+00
Chen,7,0.00e+00
Chen,4,0.00e+00
Chen,1,0.00e+00
Ding,2,0.00e+00
Ding,6,0.00e+00
Adamiak,1,5.55e-17
Adamiak,2,5.00e-16
Ding,8,5.77e-15
Ding,4,1.31e-14
Chen,8,1.89e-13
Ding,9,9.98e-13
Dokholyan,2,5.93e-09
Dokholyan,1,1.95e-03
Dokholyan,3,1.09e-02
Dokholyan,4,9.10e-01
