Lab,Num,INF nwc
Das,3,0.577
Das,1,0.544
Bujnicki,7,0.289
Bujnicki,9,0.5
Das,2,0.544
Das,6,0.577
Das,4,0.516
Bujnicki,10,-
Das,5,0.492
Bujnicki,5,0.612
Chen,3,-
Chen,9,0.408
Bujnicki,3,0.617
Ding,3,-
Ding,10,-
Bujnicki,8,0.612
Chen,5,-
Chen,6,0.5
Bujnicki,6,-
Bujnicki,2,-
Ding,1,-
Chen,10,-
Bujnicki,4,-
Bujnicki,1,0.73
Ding,5,-
Ding,7,-
Chen,2,-
Chen,7,-
Chen,4,0.236
Chen,1,-
Ding,2,-
Ding,6,-
Adamiak,1,-
Adamiak,2,0.548
Ding,8,-
Ding,4,-
Chen,8,0.365
Ding,9,-
Dokholyan,2,-
Dokholyan,1,-
Dokholyan,3,-
Dokholyan,4,-
