Target,Type,Source,ModelGroup,gGSP
CR1107,Ribozyme,CASP RNA,TS029_1,16.535
CR1107,Ribozyme,CASP RNA,TS029_2,17.467
CR1107,Ribozyme,CASP RNA,TS035_1,7.516
CR1107,Ribozyme,CASP RNA,TS035_2,7.74
CR1107,Ribozyme,CASP RNA,TS035_3,7.685
CR1107,Ribozyme,CASP RNA,TS035_4,7.383
CR1107,Ribozyme,CASP RNA,TS035_5,7.842
CR1107,Ribozyme,CASP RNA,TS054_1,21.431
CR1107,Ribozyme,CASP RNA,TS054_2,44.51
CR1107,Ribozyme,CASP RNA,TS054_3,24.205
CR1107,Ribozyme,CASP RNA,TS054_4,24.247
CR1107,Ribozyme,CASP RNA,TS054_5,23.246
CR1107,Ribozyme,CASP RNA,TS076_1,8.018
CR1107,Ribozyme,CASP RNA,TS076_2,8.039
CR1107,Ribozyme,CASP RNA,TS076_3,8.584
CR1107,Ribozyme,CASP RNA,TS076_4,8.342
CR1107,Ribozyme,CASP RNA,TS076_5,9.025
CR1107,Ribozyme,CASP RNA,TS081_1,17.918
CR1107,Ribozyme,CASP RNA,TS081_2,17.406
CR1107,Ribozyme,CASP RNA,TS081_3,24.081
CR1107,Ribozyme,CASP RNA,TS081_4,28.392
CR1107,Ribozyme,CASP RNA,TS091_1,2.405
CR1107,Ribozyme,CASP RNA,TS091_2,2.363
CR1107,Ribozyme,CASP RNA,TS091_3,2.357
CR1107,Ribozyme,CASP RNA,TS091_4,2.517
CR1107,Ribozyme,CASP RNA,TS091_5,2.345
CR1107,Ribozyme,CASP RNA,TS097_1,11.316
CR1107,Ribozyme,CASP RNA,TS119_1,8.853
CR1107,Ribozyme,CASP RNA,TS119_2,12.296
CR1107,Ribozyme,CASP RNA,TS119_3,13.098
CR1107,Ribozyme,CASP RNA,TS119_4,14.012
CR1107,Ribozyme,CASP RNA,TS119_5,11.897
CR1107,Ribozyme,CASP RNA,TS125_1,23.27
CR1107,Ribozyme,CASP RNA,TS125_2,23.237
CR1107,Ribozyme,CASP RNA,TS125_3,19.11
CR1107,Ribozyme,CASP RNA,TS125_4,4.641
CR1107,Ribozyme,CASP RNA,TS125_5,4.684
CR1107,Ribozyme,CASP RNA,TS128_1,24.508
CR1107,Ribozyme,CASP RNA,TS128_2,23.473
CR1107,Ribozyme,CASP RNA,TS128_3,49.133
CR1107,Ribozyme,CASP RNA,TS128_4,19.373
CR1107,Ribozyme,CASP RNA,TS128_5,16.898
CR1107,Ribozyme,CASP RNA,TS131_1,3.961
CR1107,Ribozyme,CASP RNA,TS131_2,4.33
CR1107,Ribozyme,CASP RNA,TS131_3,4.254
CR1107,Ribozyme,CASP RNA,TS131_4,4.445
CR1107,Ribozyme,CASP RNA,TS131_5,4.218
CR1107,Ribozyme,CASP RNA,TS147_1,4.275
CR1107,Ribozyme,CASP RNA,TS147_2,4.357
CR1107,Ribozyme,CASP RNA,TS147_3,4.091
CR1107,Ribozyme,CASP RNA,TS147_4,4.163
CR1107,Ribozyme,CASP RNA,TS147_5,4.172
CR1107,Ribozyme,CASP RNA,TS163_1,9.628
CR1107,Ribozyme,CASP RNA,TS163_2,8.923
CR1107,Ribozyme,CASP RNA,TS163_5,8.242
CR1107,Ribozyme,CASP RNA,TS227_1,4.369
CR1107,Ribozyme,CASP RNA,TS227_2,4.097
CR1107,Ribozyme,CASP RNA,TS227_3,4.13
CR1107,Ribozyme,CASP RNA,TS227_4,4.275
CR1107,Ribozyme,CASP RNA,TS227_5,4.151
CR1107,Ribozyme,CASP RNA,TS229_1,8.242
CR1107,Ribozyme,CASP RNA,TS229_2,8.242
CR1107,Ribozyme,CASP RNA,TS229_3,8.242
