Lab,Num,gGSP,file,Metric,Target,Type,MetricName,MetricIsRMSD,MetricIsTM,label,rank_gGSP,rank_Metric,delta_rank_signed,delta_rank_abs
ts029,1,0.43,TS029_1,17.04,CR1107,Ribozyme,RMSD,True,False,ts029_1,91.0,72.0,19.0,19.0
ts029,2,0.452,TS029_2,17.007,CR1107,Ribozyme,RMSD,True,False,ts029_2,83.0,71.0,12.0,12.0
ts035,1,0.344,TS035_1,20.539,CR1107,Ribozyme,RMSD,True,False,ts035_1,132.0,123.0,9.0,9.0
ts035,2,0.337,TS035_2,22.002,CR1107,Ribozyme,RMSD,True,False,ts035_2,138.0,134.0,4.0,4.0
ts035,3,0.349,TS035_3,21.399,CR1107,Ribozyme,RMSD,True,False,ts035_3,129.0,131.0,-2.0,2.0
ts035,4,0.321,TS035_4,22.742,CR1107,Ribozyme,RMSD,True,False,ts035_4,146.0,135.0,11.0,11.0
ts035,5,0.34,TS035_5,21.737,CR1107,Ribozyme,RMSD,True,False,ts035_5,136.0,133.0,3.0,3.0
ts054,1,0.581,TS054_1,7.734,CR1107,Ribozyme,RMSD,True,False,ts054_1,27.0,32.0,-5.0,5.0
ts054,2,0.621,TS054_2,6.43,CR1107,Ribozyme,RMSD,True,False,ts054_2,17.0,11.0,6.0,6.0
ts054,3,0.581,TS054_3,8.123,CR1107,Ribozyme,RMSD,True,False,ts054_3,27.0,41.0,-14.0,14.0
ts054,4,0.599,TS054_4,7.509,CR1107,Ribozyme,RMSD,True,False,ts054_4,20.0,30.0,-10.0,10.0
ts054,5,0.573,TS054_5,7.807,CR1107,Ribozyme,RMSD,True,False,ts054_5,33.0,37.0,-4.0,4.0
ts076,1,0.371,TS076_1,20.184,CR1107,Ribozyme,RMSD,True,False,ts076_1,124.0,119.0,5.0,5.0
ts076,2,0.408,TS076_2,19.903,CR1107,Ribozyme,RMSD,True,False,ts076_2,103.0,116.0,-13.0,13.0
ts076,3,0.389,TS076_3,18.873,CR1107,Ribozyme,RMSD,True,False,ts076_3,120.0,103.0,17.0,17.0
ts076,4,0.385,TS076_4,22.831,CR1107,Ribozyme,RMSD,True,False,ts076_4,121.0,136.0,-15.0,15.0
ts076,5,0.407,TS076_5,18.174,CR1107,Ribozyme,RMSD,True,False,ts076_5,113.0,99.0,14.0,14.0
ts081,1,0.528,TS081_1,14.097,CR1107,Ribozyme,RMSD,True,False,ts081_1,55.0,50.0,5.0,5.0
ts081,2,0.527,TS081_2,14.112,CR1107,Ribozyme,RMSD,True,False,ts081_2,57.0,52.0,5.0,5.0
ts081,3,0.527,TS081_3,13.111,CR1107,Ribozyme,RMSD,True,False,ts081_3,57.0,47.0,10.0,10.0
