Case_id,Lab,Num,gGSP
CR1107,ts029,1,21.859
CR1107,ts029,2,22.348
CR1107,ts035,1,8.319
CR1107,ts035,2,8.419
CR1107,ts035,3,8.553
CR1107,ts035,4,7.858
CR1107,ts035,5,8.503
CR1107,ts054,1,26.693
CR1107,ts054,2,66.142
CR1107,ts054,3,32.814
CR1107,ts054,4,29.927
CR1107,ts054,5,31.865
CR1107,ts076,1,8.497
CR1107,ts076,2,8.972
CR1107,ts076,3,9.679
CR1107,ts076,4,9.288
CR1107,ts076,5,10.075
CR1107,ts081,1,20.924
CR1107,ts081,2,20.133
CR1107,ts081,3,27.131
CR1107,ts081,4,34.006
CR1107,ts091,1,2.778
CR1107,ts091,2,2.784
CR1107,ts091,3,2.404
CR1107,ts091,4,2.815
CR1107,ts091,5,2.541
CR1107,ts097,1,15.28
CR1107,ts119,1,10.231
CR1107,ts119,2,13.032
CR1107,ts119,3,16.411
CR1107,ts119,4,16.752
CR1107,ts119,5,14.825
CR1107,ts125,1,31.661
CR1107,ts125,2,31.594
CR1107,ts125,3,23.736
CR1107,ts125,4,5.708
CR1107,ts125,5,5.769
CR1107,ts128,1,24.881
CR1107,ts128,2,24.786
CR1107,ts128,3,62.997
CR1107,ts128,4,21.496
CR1107,ts128,5,19.994
CR1107,ts131,1,4.359
CR1107,ts131,2,4.566
CR1107,ts131,3,4.345
CR1107,ts131,4,4.529
CR1107,ts131,5,4.733
CR1107,ts147,1,4.82
CR1107,ts147,2,4.73
CR1107,ts147,3,4.63
CR1107,ts147,4,4.756
CR1107,ts147,5,4.552
CR1107,ts163,1,11.751
CR1107,ts163,2,10.12
CR1107,ts163,5,9.017
CR1107,ts227,1,4.803
CR1107,ts227,2,4.75
CR1107,ts227,3,4.756
CR1107,ts227,4,4.655
CR1107,ts227,5,4.61
CR1107,ts229,1,9.017
CR1107,ts229,2,9.017
CR1107,ts229,3,9.017
CR1107,ts229,4,9.017
CR1107,ts229,5,9.017
CR1107,ts232,1,96.482
CR1107,ts232,2,94.435
CR1107,ts232,3,64.812
CR1107,ts232,4,71.347
CR1107,ts232,5,73.494
CR1107,ts235,1,8.587
CR1107,ts235,2,5.867
CR1107,ts235,3,8.416
CR1107,ts235,4,8.609
CR1107,ts235,5,7.774
CR1107,ts238,1,9.938
CR1107,ts245,1,7.475
CR1107,ts245,2,7.855
CR1107,ts245,3,8.193
CR1107,ts245,4,7.841
CR1107,ts245,5,5.219
CR1107,ts248,1,8.162
CR1107,ts248,2,8.327
CR1107,ts248,3,8.126
CR1107,ts248,4,7.958
CR1107,ts248,5,8.294
CR1107,ts285,1,8.319
CR1107,ts285,2,8.601
CR1107,ts285,3,8.168
CR1107,ts285,4,8.358
CR1107,ts285,5,8.352
CR1107,ts287,1,61.758
CR1107,ts287,2,62.042
CR1107,ts287,3,25.447
CR1107,ts287,4,61.772
CR1107,ts287,5,26.975
CR1107,ts385,1,7.914
CR1107,ts385,2,7.855
CR1107,ts385,3,8.193
CR1107,ts385,4,7.841
CR1107,ts385,5,5.219
CR1107,ts392,1,24.492
CR1107,ts392,2,21.803
CR1107,ts392,3,20.734
CR1107,ts392,4,22.669
CR1107,ts392,5,20.714
CR1107,ts416,1,63.899
CR1107,ts416,2,32.942
CR1107,ts416,3,34.294
CR1107,ts416,4,20.477
CR1107,ts416,5,36.631
CR1107,ts434,1,4.719
CR1107,ts434,2,4.633
CR1107,ts434,3,4.728
CR1107,ts434,4,4.658
CR1107,ts434,5,4.744
CR1107,ts439,1,20.17
CR1107,ts439,2,9.017
CR1107,ts439,3,10.117
CR1107,ts439,4,20.17
CR1107,ts439,5,9.017
CR1107,ts470,1,61.322
CR1107,ts470,2,61.914
CR1107,ts470,3,68.708
CR1107,ts470,4,61.866
CR1107,ts470,5,64.466
CR1107,ts489,1,61.322
CR1107,ts489,2,61.914
CR1107,ts489,3,68.708
CR1107,ts489,4,61.866
CR1107,ts489,5,64.466
CR1107,tsr01,10,26.62
CR1107,tsr01,1,60.803
CR1107,tsr01,2,60.842
CR1107,tsr01,3,25.964
CR1107,tsr01,4,62.648
CR1107,tsr01,5,61.414
CR1107,tsr01,6,25.364
CR1107,tsr01,7,61.498
CR1107,tsr01,8,27.042
CR1107,tsr01,9,61.392
CR1107,tsr02,1,4.63
CR1107,tsr02,2,4.605
CR1107,tsr02,3,4.317
CR1107,tsr02,4,8.324
CR1107,tsr02,5,4.68
CR1107,tsr02,6,7.364
CR1107,tsr02,7,4.217
CR1107,tsr02,8,9.637
CR1107,tsr03,1,22.002
CR1107,tsr03,2,21.002
CR1107,tsr03,3,22.811
CR1107,tsr03,4,21.024
CR1107,tsr03,5,24.976
CR1107,tsr04,1,24.881
