Target,Type,Lab,Num,gGSP,lddt,gsp_filename,target_pdb,model_pdb,mode,case_id,outlier
CR1107,Ribozyme,ts081,4,34.006,0.482,CR1107_solution_0_CR1107_TS081_4_C1'-gGSP.csv,CR1107_solution_0.pdb,CR1107_TS081_4.pdb,fallback_pair,CR1107,True
CR1107,Ribozyme,ts097,1,15.28,0.33,CR1107_solution_0_CR1107_TS097_1_C1'-gGSP.csv,CR1107_solution_0.pdb,CR1107_TS097_1.pdb,fallback_pair,CR1107,True
CR1107,Ribozyme,ts119,1,10.231,0.455,CR1107_solution_0_CR1107_TS119_1_C1'-gGSP.csv,CR1107_solution_0.pdb,CR1107_TS119_1.pdb,fallback_pair,CR1107,True
CR1107,Ribozyme,ts128,1,24.881,0.169,CR1107_solution_0_CR1107_TS128_1_C1'-gGSP.csv,CR1107_solution_0.pdb,CR1107_TS128_1.pdb,fallback_pair,CR1107,True
CR1107,Ribozyme,ts128,2,24.786,0.007,CR1107_solution_0_CR1107_TS128_2_C1'-gGSP.csv,CR1107_solution_0.pdb,CR1107_TS128_2.pdb,fallback_pair,CR1107,True
CR1107,Ribozyme,ts128,3,62.997,0.32,CR1107_solution_0_CR1107_TS128_3_C1'-gGSP.csv,CR1107_solution_0.pdb,CR1107_TS128_3.pdb,fallback_pair,CR1107,True
CR1107,Ribozyme,ts128,4,21.496,0.005,CR1107_solution_0_CR1107_TS128_4_C1'-gGSP.csv,CR1107_solution_0.pdb,CR1107_TS128_4.pdb,fallback_pair,CR1107,True
CR1107,Ribozyme,ts128,5,19.994,0.041,CR1107_solution_0_CR1107_TS128_5_C1'-gGSP.csv,CR1107_solution_0.pdb,CR1107_TS128_5.pdb,fallback_pair,CR1107,True
CR1107,Ribozyme,ts131,1,4.359,0.101,CR1107_solution_0_CR1107_TS131_1_C1'-gGSP.csv,CR1107_solution_0.pdb,CR1107_TS131_1.pdb,fallback_pair,CR1107,True
CR1107,Ribozyme,ts131,2,4.566,0.064,CR1107_solution_0_CR1107_TS131_2_C1'-gGSP.csv,CR1107_solution_0.pdb,CR1107_TS131_2.pdb,fallback_pair,CR1107,True
CR1107,Ribozyme,ts131,3,4.345,0.064,CR1107_solution_0_CR1107_TS131_3_C1'-gGSP.csv,CR1107_solution_0.pdb,CR1107_TS131_3.pdb,fallback_pair,CR1107,True
CR1107,Ribozyme,ts131,4,4.529,0.056,CR1107_solution_0_CR1107_TS131_4_C1'-gGSP.csv,CR1107_solution_0.pdb,CR1107_TS131_4.pdb,fallback_pair,CR1107,True
CR1107,Ribozyme,ts131,5,4.733,0.073,CR1107_solution_0_CR1107_TS131_5_C1'-gGSP.csv,CR1107_solution_0.pdb,CR1107_TS131_5.pdb,fallback_pair,CR1107,True
CR1107,Ribozyme,ts147,2,4.73,0.32,CR1107_solution_0_CR1107_TS147_2_C1'-gGSP.csv,CR1107_solution_0.pdb,CR1107_TS147_2.pdb,fallback_pair,CR1107,True
