Target,Type,Source,ModelGroup,gGSP
CR1107,Ribozyme,CASP RNA,TS029_1,23.685
CR1107,Ribozyme,CASP RNA,TS029_2,24.214
CR1107,Ribozyme,CASP RNA,TS035_1,9.013
CR1107,Ribozyme,CASP RNA,TS035_2,9.122
CR1107,Ribozyme,CASP RNA,TS035_3,9.267
CR1107,Ribozyme,CASP RNA,TS035_4,8.514
CR1107,Ribozyme,CASP RNA,TS035_5,9.213
CR1107,Ribozyme,CASP RNA,TS054_1,28.922
CR1107,Ribozyme,CASP RNA,TS054_2,71.665
CR1107,Ribozyme,CASP RNA,TS054_3,35.554
CR1107,Ribozyme,CASP RNA,TS054_4,32.426
CR1107,Ribozyme,CASP RNA,TS054_5,34.525
CR1107,Ribozyme,CASP RNA,TS076_1,9.207
CR1107,Ribozyme,CASP RNA,TS076_2,9.721
CR1107,Ribozyme,CASP RNA,TS076_3,10.487
CR1107,Ribozyme,CASP RNA,TS076_4,10.063
CR1107,Ribozyme,CASP RNA,TS076_5,10.916
CR1107,Ribozyme,CASP RNA,TS081_1,22.671
CR1107,Ribozyme,CASP RNA,TS081_2,21.815
CR1107,Ribozyme,CASP RNA,TS081_3,29.397
CR1107,Ribozyme,CASP RNA,TS081_4,36.846
CR1107,Ribozyme,CASP RNA,TS091_1,3.01
CR1107,Ribozyme,CASP RNA,TS091_2,3.017
CR1107,Ribozyme,CASP RNA,TS091_3,2.605
CR1107,Ribozyme,CASP RNA,TS091_4,3.05
CR1107,Ribozyme,CASP RNA,TS091_5,2.753
CR1107,Ribozyme,CASP RNA,TS097_1,16.556
CR1107,Ribozyme,CASP RNA,TS119_1,11.086
CR1107,Ribozyme,CASP RNA,TS119_2,14.121
CR1107,Ribozyme,CASP RNA,TS119_3,17.782
CR1107,Ribozyme,CASP RNA,TS119_4,18.151
CR1107,Ribozyme,CASP RNA,TS119_5,16.063
CR1107,Ribozyme,CASP RNA,TS125_1,34.305
CR1107,Ribozyme,CASP RNA,TS125_2,34.232
CR1107,Ribozyme,CASP RNA,TS125_3,25.718
CR1107,Ribozyme,CASP RNA,TS125_4,6.184
CR1107,Ribozyme,CASP RNA,TS125_5,6.251
CR1107,Ribozyme,CASP RNA,TS128_1,26.958
CR1107,Ribozyme,CASP RNA,TS128_2,26.855
CR1107,Ribozyme,CASP RNA,TS128_3,68.258
CR1107,Ribozyme,CASP RNA,TS128_4,23.291
CR1107,Ribozyme,CASP RNA,TS128_5,21.663
CR1107,Ribozyme,CASP RNA,TS131_1,4.723
CR1107,Ribozyme,CASP RNA,TS131_2,4.947
CR1107,Ribozyme,CASP RNA,TS131_3,4.708
CR1107,Ribozyme,CASP RNA,TS131_4,4.908
CR1107,Ribozyme,CASP RNA,TS131_5,5.128
CR1107,Ribozyme,CASP RNA,TS147_1,5.222
CR1107,Ribozyme,CASP RNA,TS147_2,5.125
CR1107,Ribozyme,CASP RNA,TS147_3,5.016
CR1107,Ribozyme,CASP RNA,TS147_4,5.153
CR1107,Ribozyme,CASP RNA,TS147_5,4.932
CR1107,Ribozyme,CASP RNA,TS163_1,12.732
CR1107,Ribozyme,CASP RNA,TS163_2,10.965
CR1107,Ribozyme,CASP RNA,TS163_5,9.77
CR1107,Ribozyme,CASP RNA,TS227_1,5.204
CR1107,Ribozyme,CASP RNA,TS227_2,5.147
CR1107,Ribozyme,CASP RNA,TS227_3,5.153
CR1107,Ribozyme,CASP RNA,TS227_4,5.044
CR1107,Ribozyme,CASP RNA,TS227_5,4.995
CR1107,Ribozyme,CASP RNA,TS229_1,9.77
CR1107,Ribozyme,CASP RNA,TS229_2,9.77
