Target,Spearman_rho,p_value,N
CR1107,0.4650426447969352,4.801313039026883e-11,180
CR1108,0.42569486784887256,1.4708650848804494e-08,163
CR1116,0.4463401720979369,1.8354762195236914e-08,145
CR1117,0.5387478476658365,6.794426618732632e-13,153
CR1126,0.6274115697958119,1.0893125049985716e-16,140
CR1128,0.5741872624028594,2.2093038724375563e-13,137
CR1136,0.7780270023520232,2.621294122858442e-33,158
CR1138,0.7773010547545363,1.5609957505780018e-27,130
CR1149,0.6869143308654699,1.3849609437799848e-20,138
CR1156,0.5088185305667918,6.384176928238266e-11,145
CR1189,0.5648827140176231,7.86963236193575e-13,136
CR1190,0.5622835263949886,2.2869470667262043e-12,132
PZ1,0.4813186813186813,0.08141829504280494,14
PZ10,0.8652531285763015,1.168949490215813e-08,26
PZ10tBox,0.4745007319500969,0.14030124713283473,11
PZ11,0.4677825391552258,0.000361556967089903,54
PZ11NMR,0.4579897279704202,0.0005640030855400503,53
PZ12,0.6687331734753109,8.170275357683883e-08,51
PZ13,0.7955119437694057,3.9932521204894563e-13,55
PZ14Bound,0.8001511507036287,2.1548396121789007e-15,64
PZ14Free,0.39346642548959193,0.003904853496384519,52
PZ15,0.5956892092525735,2.1604233181976063e-08,74
PZ15noend,0.5919271224923116,2.7861400867340455e-08,74
PZ15reconstruct,0.6024542532450086,1.3561093816872585e-08,74
PZ16a,0.7774427162125793,5.501020015090484e-18,83
PZ16b,0.7677682950352729,4.322764036167975e-19,92
PZ17,0.39438434290827706,2.630390357087045e-05,107
PZ18,0.8481658250996801,3.3357699630934496e-18,62
PZ19,0.7426049367963553,1.6665393076408746e-11,59
PZ2,-0.5193014423086528,0.08358872220491731,12
PZ20,0.561928302914135,8.04098344104904e-06,55
PZ21,0.0793112523879193,0.5504349025028701,59
PZ22,0.6147736368188663,7.023743950609165e-06,45
PZ22Dimer,0.39450230026321387,0.011767842410609512,40
PZ23,0.47617717212442545,0.0038336267522852854,35
PZ24,0.8953603259616505,1.1491068171525498e-32,90
PZ25,0.8605030960042498,9.002691970333208e-15,47
PZ26,0.8459711455065285,2.057289577614511e-19,67
PZ26tBox,0.8459711455065285,2.057289577614511e-19,67
PZ27,0.8376239518589107,9.962152022194251e-19,67
PZ27tBox,0.8376239518589107,9.962152022194251e-19,67
PZ28,0.8232267246261938,7.055072935871636e-19,72
PZ28tBox,0.8232267246261938,7.055072935871636e-19,72
PZ29,0.6310910964150116,3.681040499558477e-05,36
PZ3,0.26269742562687987,0.4094281948783638,12
PZ31,0.6527744283278165,5.178182148156412e-10,72
PZ32,0.7917863386296732,5.3055313514154995e-24,106
PZ34,0.6350073748751134,9.91710666585295e-13,101
PZ35,0.5009163964629008,0.00018124725960522615,51
PZ36,0.5751066288491411,0.00046352443286082194,33
PZ37,0.8444804944603341,3.201231134968767e-24,85
PZ38,0.4431970500012998,7.668915136811848e-05,74
PZ39,0.5376514925554263,3.3375686398619223e-09,105
PZ4,0.41779060279483254,0.021601504910869287,30
PZ5,0.6845044452222887,0.00016064056894728263,25
PZ6,0.4435274546191534,0.008605757687590775,34
PZ7,0.4445891445238821,0.000959788829788848,52
PZ8,0.80936753034304,8.694245632423425e-11,42
PZ9,0.49560236548085984,0.002878296213934023,34
