Target,Type,Source,ModelGroup,gGSP
CR1107,Ribozyme,CASP RNA,TS029_1,6.305
CR1107,Ribozyme,CASP RNA,TS029_2,8.599
CR1107,Ribozyme,CASP RNA,TS035_1,5.204
CR1107,Ribozyme,CASP RNA,TS035_2,5.289
CR1107,Ribozyme,CASP RNA,TS035_3,5.367
CR1107,Ribozyme,CASP RNA,TS035_4,4.78
CR1107,Ribozyme,CASP RNA,TS035_5,5.101
CR1107,Ribozyme,CASP RNA,TS054_1,11.149
CR1107,Ribozyme,CASP RNA,TS054_2,12.211
CR1107,Ribozyme,CASP RNA,TS054_3,10.215
CR1107,Ribozyme,CASP RNA,TS054_4,11.918
CR1107,Ribozyme,CASP RNA,TS054_5,10.006
CR1107,Ribozyme,CASP RNA,TS076_1,5.755
CR1107,Ribozyme,CASP RNA,TS076_2,6.242
CR1107,Ribozyme,CASP RNA,TS076_3,5.951
CR1107,Ribozyme,CASP RNA,TS076_4,5.809
CR1107,Ribozyme,CASP RNA,TS076_5,6.442
CR1107,Ribozyme,CASP RNA,TS081_1,10.472
CR1107,Ribozyme,CASP RNA,TS081_2,10.215
CR1107,Ribozyme,CASP RNA,TS081_3,12.26
CR1107,Ribozyme,CASP RNA,TS081_4,10.581
CR1107,Ribozyme,CASP RNA,TS091_1,1.349
CR1107,Ribozyme,CASP RNA,TS091_2,1.325
CR1107,Ribozyme,CASP RNA,TS091_3,1.28
CR1107,Ribozyme,CASP RNA,TS091_4,1.346
CR1107,Ribozyme,CASP RNA,TS091_5,1.352
CR1107,Ribozyme,CASP RNA,TS097_1,5.086
CR1107,Ribozyme,CASP RNA,TS119_1,5.153
CR1107,Ribozyme,CASP RNA,TS119_2,7.997
CR1107,Ribozyme,CASP RNA,TS119_3,7.579
CR1107,Ribozyme,CASP RNA,TS119_4,8.647
CR1107,Ribozyme,CASP RNA,TS119_5,6.387
CR1107,Ribozyme,CASP RNA,TS125_1,10.006
CR1107,Ribozyme,CASP RNA,TS125_2,10.033
CR1107,Ribozyme,CASP RNA,TS125_3,10.687
CR1107,Ribozyme,CASP RNA,TS125_4,2.75
CR1107,Ribozyme,CASP RNA,TS125_5,2.765
CR1107,Ribozyme,CASP RNA,TS128_1,18.835
CR1107,Ribozyme,CASP RNA,TS128_2,16.021
CR1107,Ribozyme,CASP RNA,TS128_3,22.65
CR1107,Ribozyme,CASP RNA,TS128_4,9.398
CR1107,Ribozyme,CASP RNA,TS128_5,8.033
CR1107,Ribozyme,CASP RNA,TS131_1,2.847
CR1107,Ribozyme,CASP RNA,TS131_2,2.962
CR1107,Ribozyme,CASP RNA,TS131_3,2.962
CR1107,Ribozyme,CASP RNA,TS131_4,2.938
CR1107,Ribozyme,CASP RNA,TS131_5,2.814
CR1107,Ribozyme,CASP RNA,TS147_1,2.88
CR1107,Ribozyme,CASP RNA,TS147_2,2.883
CR1107,Ribozyme,CASP RNA,TS147_3,2.762
CR1107,Ribozyme,CASP RNA,TS147_4,2.775
CR1107,Ribozyme,CASP RNA,TS147_5,2.778
CR1107,Ribozyme,CASP RNA,TS163_1,6.841
CR1107,Ribozyme,CASP RNA,TS163_2,6.106
CR1107,Ribozyme,CASP RNA,TS163_5,6.106
CR1107,Ribozyme,CASP RNA,TS227_1,2.929
