Target,Type,Source,gGSP
CR1107,Ribozyme,CASP RNA,96.482
CR1107,Ribozyme,CASP RNA,94.435
CR1108,Ribozyme,CASP RNA,96.314
CR1108,Ribozyme,CASP RNA,97.224
CR1116,Viral element,CASP RNA,97.421
CR1117,Riboswitch,CASP RNA,99.914
CR1117,Riboswitch,CASP RNA,92.386
CR1117,Riboswitch,CASP RNA,95.768
CR1117,Riboswitch,CASP RNA,95.555
CR1117,Riboswitch,CASP RNA,96.924
CR1117,Riboswitch,CASP RNA,92.386
CR1117,Riboswitch,CASP RNA,95.768
CR1117,Riboswitch,CASP RNA,95.555
CR1117,Riboswitch,CASP RNA,96.924
CR1117,Riboswitch,CASP RNA,100.0
CR1117,Riboswitch,CASP RNA,98.578
CR1117,Riboswitch,CASP RNA,100.0
CR1117,Riboswitch,CASP RNA,100.0
CR1117,Riboswitch,CASP RNA,100.0
CR1117,Riboswitch,CASP RNA,100.0
CR1117,Riboswitch,CASP RNA,99.681
CR1117,Riboswitch,CASP RNA,99.269
CR1117,Riboswitch,CASP RNA,100.0
CR1117,Riboswitch,CASP RNA,99.442
CR1117,Riboswitch,CASP RNA,100.0
CR1117,Riboswitch,CASP RNA,100.0
CR1117,Riboswitch,CASP RNA,100.0
CR1117,Riboswitch,CASP RNA,99.721
CR1117,Riboswitch,CASP RNA,100.0
CR1117,Riboswitch,CASP RNA,99.581
CR1117,Riboswitch,CASP RNA,98.419
CR1117,Riboswitch,CASP RNA,99.761
CR1117,Riboswitch,CASP RNA,100.0
CR1117,Riboswitch,CASP RNA,100.0
CR1117,Riboswitch,CASP RNA,100.0
CR1117,Riboswitch,CASP RNA,100.0
CR1117,Riboswitch,CASP RNA,100.0
CR1117,Riboswitch,CASP RNA,99.801
CR1117,Riboswitch,CASP RNA,100.0
CR1117,Riboswitch,CASP RNA,100.0
CR1117,Riboswitch,CASP RNA,99.714
CR1117,Riboswitch,CASP RNA,100.0
CR1117,Riboswitch,CASP RNA,100.0
CR1117,Riboswitch,CASP RNA,99.953
CR1117,Riboswitch,CASP RNA,100.0
CR1117,Riboswitch,CASP RNA,100.0
CR1117,Riboswitch,CASP RNA,100.0
CR1117,Riboswitch,CASP RNA,100.0
CR1117,Riboswitch,CASP RNA,100.0
CR1117,Riboswitch,CASP RNA,100.0
CR1117,Riboswitch,CASP RNA,100.0
CR1117,Riboswitch,CASP RNA,100.0
CR1117,Riboswitch,CASP RNA,100.0
CR1117,Riboswitch,CASP RNA,100.0
CR1117,Riboswitch,CASP RNA,100.0
CR1117,Riboswitch,CASP RNA,100.0
CR1117,Riboswitch,CASP RNA,99.429
CR1117,Riboswitch,CASP RNA,100.0
CR1117,Riboswitch,CASP RNA,100.0
CR1117,Riboswitch,CASP RNA,100.0
CR1117,Riboswitch,CASP RNA,100.0
CR1117,Riboswitch,CASP RNA,100.0
CR1117,Riboswitch,CASP RNA,93.728
CR1117,Riboswitch,CASP RNA,94.824
CR1117,Riboswitch,CASP RNA,97.582
CR1117,Riboswitch,CASP RNA,100.0
CR1117,Riboswitch,CASP RNA,100.0
CR1117,Riboswitch,CASP RNA,100.0
CR1117,Riboswitch,CASP RNA,100.0
CR1117,Riboswitch,CASP RNA,100.0
CR1117,Riboswitch,CASP RNA,99.9
CR1117,Riboswitch,CASP RNA,100.0
CR1117,Riboswitch,CASP RNA,100.0
CR1117,Riboswitch,CASP RNA,100.0
CR1117,Riboswitch,CASP RNA,100.0
CR1117,Riboswitch,CASP RNA,100.0
CR1117,Riboswitch,CASP RNA,97.269
CR1117,Riboswitch,CASP RNA,100.0
CR1117,Riboswitch,CASP RNA,100.0
CR1117,Riboswitch,CASP RNA,100.0
CR1117,Riboswitch,CASP RNA,100.0
CR1117,Riboswitch,CASP RNA,100.0
CR1117,Riboswitch,CASP RNA,99.761
CR1117,Riboswitch,CASP RNA,98.724
CR1117,Riboswitch,CASP RNA,100.0
CR1117,Riboswitch,CASP RNA,99.801
CR1117,Riboswitch,CASP RNA,98.724
CR1117,Riboswitch,CASP RNA,98.724
CR1117,Riboswitch,CASP RNA,99.322
CR1117,Riboswitch,CASP RNA,99.801
CR1117,Riboswitch,CASP RNA,98.724
CR1117,Riboswitch,CASP RNA,98.724
CR1117,Riboswitch,CASP RNA,99.322
CR1128,Synthetic construct,CASP RNA,100.0
PZ1,Regulatory element,RNA-Puzzles,99.874
PZ1,Regulatory element,RNA-Puzzles,99.606
PZ1,Regulatory element,RNA-Puzzles,99.786
PZ1,Regulatory element,RNA-Puzzles,100.0
PZ1,Regulatory element,RNA-Puzzles,99.598
PZ1,Regulatory element,RNA-Puzzles,97.374
PZ1,Regulatory element,RNA-Puzzles,99.736
PZ11,Regulatory element,RNA-Puzzles,100.0
PZ16a,Synthetic construct,RNA-Puzzles,100.0
PZ16a,Synthetic construct,RNA-Puzzles,100.0
PZ16a,Synthetic construct,RNA-Puzzles,100.0
PZ16a,Synthetic construct,RNA-Puzzles,100.0
PZ16a,Synthetic construct,RNA-Puzzles,93.313
PZ16a,Synthetic construct,RNA-Puzzles,99.565
PZ16a,Synthetic construct,RNA-Puzzles,97.895
PZ16a,Synthetic construct,RNA-Puzzles,99.436
PZ16a,Synthetic construct,RNA-Puzzles,97.324
PZ16a,Synthetic construct,RNA-Puzzles,98.558
PZ16a,Synthetic construct,RNA-Puzzles,100.0
PZ16a,Synthetic construct,RNA-Puzzles,100.0
PZ16a,Synthetic construct,RNA-Puzzles,100.0
PZ16a,Synthetic construct,RNA-Puzzles,100.0
PZ16a,Synthetic construct,RNA-Puzzles,100.0
PZ16a,Synthetic construct,RNA-Puzzles,100.0
PZ16a,Synthetic construct,RNA-Puzzles,100.0
PZ16a,Synthetic construct,RNA-Puzzles,100.0
