Lab,Num,gGSP,RMSD,TM-score,INF_all,lDDT,Target,Type
ts029,1,21.859,17.04,0.276,0.534,0.43,CR1107,Ribozyme
ts029,2,22.348,17.007,0.28,0.568,0.452,CR1107,Ribozyme
ts035,1,8.319,20.539,0.233,0.449,0.338,CR1107,Ribozyme
ts035,2,8.419,22.002,0.193,0.456,0.296,CR1107,Ribozyme
ts035,3,8.553,21.399,0.211,0.479,0.339,CR1107,Ribozyme
ts035,4,7.858,22.742,0.151,0.467,0.311,CR1107,Ribozyme
ts035,5,8.503,21.737,0.241,0.497,0.324,CR1107,Ribozyme
ts054,1,26.693,7.734,0.358,0.803,0.542,CR1107,Ribozyme
ts054,2,66.142,6.43,0.372,0.809,0.621,CR1107,Ribozyme
ts054,3,32.814,8.123,0.374,0.769,0.581,CR1107,Ribozyme
ts054,4,29.927,7.509,0.368,0.786,0.579,CR1107,Ribozyme
ts054,5,31.865,7.807,0.396,0.734,0.573,CR1107,Ribozyme
ts076,1,8.497,20.184,0.232,0.58,0.371,CR1107,Ribozyme
ts076,2,8.972,19.903,0.255,0.655,0.408,CR1107,Ribozyme
ts076,3,9.679,18.873,0.299,0.629,0.389,CR1107,Ribozyme
ts076,4,9.288,22.831,0.229,0.641,0.385,CR1107,Ribozyme
ts076,5,10.075,18.174,0.228,0.654,0.399,CR1107,Ribozyme
ts081,1,20.924,14.097,0.333,0.717,0.528,CR1107,Ribozyme
ts081,2,20.133,14.112,0.33,0.723,0.527,CR1107,Ribozyme
ts081,3,27.131,13.111,0.323,0.732,0.515,CR1107,Ribozyme
ts081,4,34.006,8.804,0.324,0.658,0.482,CR1107,Ribozyme
ts097,1,15.28,17.327,0.209,0.483,0.33,CR1107,Ribozyme
ts119,1,10.231,17.776,0.251,0.69,0.455,CR1107,Ribozyme
ts119,2,13.032,19.625,0.241,0.75,0.448,CR1107,Ribozyme
ts119,3,16.411,13.799,0.261,0.777,0.486,CR1107,Ribozyme
ts119,4,16.752,19.142,0.224,0.766,0.486,CR1107,Ribozyme
ts119,5,14.825,14.991,0.221,0.744,0.488,CR1107,Ribozyme
ts125,1,31.661,7.818,0.393,0.744,0.576,CR1107,Ribozyme
ts125,2,31.594,7.803,0.392,0.765,0.576,CR1107,Ribozyme
ts125,3,23.736,9.785,0.258,0.655,0.454,CR1107,Ribozyme
ts125,4,5.708,19.405,0.24,0.425,0.248,CR1107,Ribozyme
ts125,5,5.769,19.348,0.235,0.434,0.26,CR1107,Ribozyme
ts128,1,24.881,16.05,0.341,0.763,0.169,CR1107,Ribozyme
ts128,2,24.786,17.573,0.289,0.769,0.007,CR1107,Ribozyme
ts128,3,62.997,5.982,0.397,0.757,0.32,CR1107,Ribozyme
ts128,4,21.496,20.382,0.3,0.718,0.005,CR1107,Ribozyme
ts128,5,19.994,14.742,0.24,0.678,0.041,CR1107,Ribozyme
ts131,1,4.359,51.535,0.174,0.543,0.101,CR1107,Ribozyme
ts131,2,4.566,49.244,0.172,0.65,0.064,CR1107,Ribozyme
ts131,3,4.345,51.104,0.184,0.63,0.064,CR1107,Ribozyme
ts131,4,4.529,43.941,0.172,0.619,0.056,CR1107,Ribozyme
ts131,5,4.733,37.309,0.245,0.59,0.073,CR1107,Ribozyme
ts147,1,4.82,27.839,0.253,0.539,0.315,CR1107,Ribozyme
ts147,2,4.73,26.882,0.24,0.559,0.32,CR1107,Ribozyme
ts147,3,4.63,24.443,0.248,0.579,0.312,CR1107,Ribozyme
ts147,4,4.756,25.652,0.256,0.528,0.311,CR1107,Ribozyme
ts147,5,4.552,26.067,0.243,0.592,0.321,CR1107,Ribozyme
ts163,1,11.751,14.29,0.249,0.613,0.412,CR1107,Ribozyme
ts163,2,10.12,17.874,0.293,0.551,0.322,CR1107,Ribozyme
ts163,5,9.017,17.897,0.296,0.608,0.338,CR1107,Ribozyme
ts227,1,4.803,26.554,0.217,0.542,0.316,CR1107,Ribozyme
