Target,n_models,AUC_gGSP5,AUC_gGSP_avg,diff
CR1107,180,1.0,0.9971910112359551,-0.002808988764044895
CR1108,163,0.9919354838709677,0.9629032258064515,-0.02903225806451626
CR1116,145,1.0,1.0,0.0
CR1117,153,1.0,0.9844933285250631,-0.015506671474936895
CR1128,137,0.9852941176470589,1.0,0.014705882352941124
PZ1,14,0.9791666666666667,0.875,-0.10416666666666674
PZ11,54,0.6415094339622642,0.5471698113207547,-0.09433962264150952
PZ14Bound,64,1.0,1.0,0.0
PZ15noend,74,1.0,1.0,0.0
PZ15reconstruct,74,1.0,0.888888888888889,-0.11111111111111105
PZ16a,83,1.0,0.928453947368421,-0.07154605263157898
PZ16b,92,0.9990842490842491,0.9826007326007327,-0.016483516483516425
PZ18,62,1.0,1.0,0.0
PZ20,55,1.0,1.0,0.0
PZ21,59,1.0,0.9787878787878789,-0.021212121212121127
PZ24,90,1.0,1.0,0.0
PZ25,47,1.0,0.9777777777777777,-0.022222222222222254
PZ29,36,1.0,1.0,0.0
PZ31,72,1.0,0.9571428571428571,-0.04285714285714293
PZ32,106,1.0,0.9619047619047618,-0.03809523809523818
PZ33,100,0.9932249322493225,0.9234417344173441,-0.0697831978319784
PZ39,105,0.9934640522875817,0.9967320261437909,0.0032679738562091387
PZ4,30,1.0,0.8846153846153846,-0.11538461538461542
PZ8,42,1.0,1.0,0.0
