target_label,PDB_IDs,descript,type,notes,PDB_Link,Komentarz,Kolumna nr 1
CR1107,7qr4,human CPEB3 HDV-like ribozyme,Ribozyme,dimer,https://www.rcsb.org/structure/7qr4,,
CR1108,7qr3,chimpanzee CPEB3 HDV-like ribozyme,Ribozyme,dimer,https://www.rcsb.org/structure/7qr3,,
CR1116,8s95,Cloverleaf RNA,Viral element,-,https://www.rcsb.org/structure/8s95,,
CR1117,8fza,PreQ1 class I type III riboswitch,Riboswitch,-,https://www.rcsb.org/structure/8fza,,
CR1126,8tvz,Traptamer,Aptamer,-,https://www.rcsb.org/structure/8tvz,,
CR1128,8btz,6WJ,Synthetic construct,-,https://www.rcsb.org/structure/8btz,,
CR1136,7zj4,Apta-FRET,Aptamer,-,https://www.rcsb.org/structure/7zj4,,
CR1138,7ptk,6HBC-Young,Synthetic construct,-,https://www.rcsb.org/structure/7ptk,,
CR1149,8uys,SARS-CoV-2 SL5,Viral element,-,https://www.rcsb.org/structure/8uys,,
CR1156,8uye,BtCoV-HKU5 SL5,Viral element,-,https://www.rcsb.org/structure/8uye,,
CR1189,7yr7,A-6B,RNA-binding protein,-,https://www.rcsb.org/structure/7yr7,,
CR1190,7yr6,A-4B,RNA-binding protein,-,https://www.rcsb.org/structure/7yr6,,
PZ1,3mei,RNA dimer (thymidylate synthase),Regulatory element,-,https://www.rcsb.org/structure/3mei,,
PZ10,4lck,T-box riboswitch – tRNA complex,Riboswitch,complex,https://www.rcsb.org/structure/4lck,,
PZ10tBox,4lck,T-box riboswitch (from complex),Riboswitch,tBox only,https://www.rcsb.org/structure/4lck,,
PZ10tRNA,4lck,tRNA (from complex),Riboswitch,tRNA only,https://www.rcsb.org/structure/4lck,,
PZ11,5lys,7SK,Regulatory element,crystal structure,https://www.rcsb.org/structure/5lys,,
PZ11NMR,5iem,7SK,Regulatory element,NMR structure,https://www.rcsb.org/structure/5iem,,
PZ12,4qlm,ydaO riboswitch,Riboswitch,-,https://www.rcsb.org/structure/4qlm,,
PZ13,4xw7,ZMP Riboswitch,Riboswitch,-,https://www.rcsb.org/structure/4xw7,,
PZ14Bound,5ddo,L-glutamine riboswitch,Riboswitch,bound state,https://www.rcsb.org/structure/5ddo,,
