Target,Lab,Num,gGSP,lddt,gsp_filename,target_pdb,model_pdb,mode,case_id
CR1107,ts029,1,21.859,0.43,CR1107_solution_0_CR1107_TS029_1_C1'-gGSP.csv,CR1107_solution_0.pdb,CR1107_TS029_1.pdb,fallback_pair,CR1107
CR1107,ts029,2,22.348,0.452,CR1107_solution_0_CR1107_TS029_2_C1'-gGSP.csv,CR1107_solution_0.pdb,CR1107_TS029_2.pdb,fallback_pair,CR1107
CR1107,ts035,1,8.319,0.338,CR1107_solution_0_CR1107_TS035_1_C1'-gGSP.csv,CR1107_solution_0.pdb,CR1107_TS035_1.pdb,fallback_pair,CR1107
CR1107,ts035,2,8.419,0.296,CR1107_solution_0_CR1107_TS035_2_C1'-gGSP.csv,CR1107_solution_0.pdb,CR1107_TS035_2.pdb,fallback_pair,CR1107
CR1107,ts035,3,8.553,0.339,CR1107_solution_0_CR1107_TS035_3_C1'-gGSP.csv,CR1107_solution_0.pdb,CR1107_TS035_3.pdb,fallback_pair,CR1107
CR1107,ts035,4,7.858,0.311,CR1107_solution_0_CR1107_TS035_4_C1'-gGSP.csv,CR1107_solution_0.pdb,CR1107_TS035_4.pdb,fallback_pair,CR1107
CR1107,ts035,5,8.503,0.324,CR1107_solution_0_CR1107_TS035_5_C1'-gGSP.csv,CR1107_solution_0.pdb,CR1107_TS035_5.pdb,fallback_pair,CR1107
CR1107,ts054,1,26.693,0.542,CR1107_solution_0_CR1107_TS054_1_C1'-gGSP.csv,CR1107_solution_0.pdb,CR1107_TS054_1.pdb,fallback_pair,CR1107
CR1107,ts054,2,66.142,0.621,CR1107_solution_0_CR1107_TS054_2_C1'-gGSP.csv,CR1107_solution_0.pdb,CR1107_TS054_2.pdb,fallback_pair,CR1107
CR1107,ts054,3,32.814,0.581,CR1107_solution_0_CR1107_TS054_3_C1'-gGSP.csv,CR1107_solution_0.pdb,CR1107_TS054_3.pdb,fallback_pair,CR1107
CR1107,ts054,4,29.927,0.579,CR1107_solution_0_CR1107_TS054_4_C1'-gGSP.csv,CR1107_solution_0.pdb,CR1107_TS054_4.pdb,fallback_pair,CR1107
CR1107,ts054,5,31.865,0.573,CR1107_solution_0_CR1107_TS054_5_C1'-gGSP.csv,CR1107_solution_0.pdb,CR1107_TS054_5.pdb,fallback_pair,CR1107
CR1107,ts076,1,8.497,0.371,CR1107_solution_0_CR1107_TS076_1_C1'-gGSP.csv,CR1107_solution_0.pdb,CR1107_TS076_1.pdb,fallback_pair,CR1107
CR1107,ts076,2,8.972,0.408,CR1107_solution_0_CR1107_TS076_2_C1'-gGSP.csv,CR1107_solution_0.pdb,CR1107_TS076_2.pdb,fallback_pair,CR1107
CR1107,ts076,3,9.679,0.389,CR1107_solution_0_CR1107_TS076_3_C1'-gGSP.csv,CR1107_solution_0.pdb,CR1107_TS076_3.pdb,fallback_pair,CR1107
CR1107,ts076,4,9.288,0.385,CR1107_solution_0_CR1107_TS076_4_C1'-gGSP.csv,CR1107_solution_0.pdb,CR1107_TS076_4.pdb,fallback_pair,CR1107
CR1107,ts076,5,10.075,0.399,CR1107_solution_0_CR1107_TS076_5_C1'-gGSP.csv,CR1107_solution_0.pdb,CR1107_TS076_5.pdb,fallback_pair,CR1107
CR1107,ts081,1,20.924,0.528,CR1107_solution_0_CR1107_TS081_1_C1'-gGSP.csv,CR1107_solution_0.pdb,CR1107_TS081_1.pdb,fallback_pair,CR1107
CR1107,ts081,2,20.133,0.527,CR1107_solution_0_CR1107_TS081_2_C1'-gGSP.csv,CR1107_solution_0.pdb,CR1107_TS081_2.pdb,fallback_pair,CR1107
CR1107,ts081,3,27.131,0.515,CR1107_solution_0_CR1107_TS081_3_C1'-gGSP.csv,CR1107_solution_0.pdb,CR1107_TS081_3.pdb,fallback_pair,CR1107
CR1107,ts081,4,34.006,0.482,CR1107_solution_0_CR1107_TS081_4_C1'-gGSP.csv,CR1107_solution_0.pdb,CR1107_TS081_4.pdb,fallback_pair,CR1107
CR1107,ts091,1,2.778,0.04,CR1107_solution_0_CR1107_TS091_1_C1'-gGSP.csv,CR1107_solution_0.pdb,CR1107_TS091_1.pdb,fallback_pair,CR1107
CR1107,ts091,2,2.784,0.031,CR1107_solution_0_CR1107_TS091_2_C1'-gGSP.csv,CR1107_solution_0.pdb,CR1107_TS091_2.pdb,fallback_pair,CR1107
CR1107,ts091,3,2.404,0.041,CR1107_solution_0_CR1107_TS091_3_C1'-gGSP.csv,CR1107_solution_0.pdb,CR1107_TS091_3.pdb,fallback_pair,CR1107
CR1107,ts091,4,2.815,0.041,CR1107_solution_0_CR1107_TS091_4_C1'-gGSP.csv,CR1107_solution_0.pdb,CR1107_TS091_4.pdb,fallback_pair,CR1107
CR1107,ts091,5,2.541,0.04,CR1107_solution_0_CR1107_TS091_5_C1'-gGSP.csv,CR1107_solution_0.pdb,CR1107_TS091_5.pdb,fallback_pair,CR1107
CR1107,ts097,1,15.28,0.33,CR1107_solution_0_CR1107_TS097_1_C1'-gGSP.csv,CR1107_solution_0.pdb,CR1107_TS097_1.pdb,fallback_pair,CR1107
CR1107,ts119,1,10.231,0.455,CR1107_solution_0_CR1107_TS119_1_C1'-gGSP.csv,CR1107_solution_0.pdb,CR1107_TS119_1.pdb,fallback_pair,CR1107
CR1107,ts119,2,13.032,0.448,CR1107_solution_0_CR1107_TS119_2_C1'-gGSP.csv,CR1107_solution_0.pdb,CR1107_TS119_2.pdb,fallback_pair,CR1107
CR1107,ts119,3,16.411,0.486,CR1107_solution_0_CR1107_TS119_3_C1'-gGSP.csv,CR1107_solution_0.pdb,CR1107_TS119_3.pdb,fallback_pair,CR1107
CR1107,ts119,4,16.752,0.486,CR1107_solution_0_CR1107_TS119_4_C1'-gGSP.csv,CR1107_solution_0.pdb,CR1107_TS119_4.pdb,fallback_pair,CR1107
