"nazwa_zestawu","liczba_modeli"
"CR1107","131"
"CR1108","163"
"CR1116","145"
"CR1117","153"
"CR1126","140"
"CR1128","137"
"CR1136","158"
"CR1138","130"
"CR1149","138"
"CR1156","145"
"CR1189","136"
"CR1190","132"
"PZ1","14"
"PZ10","26"
"PZ10tBox","26"
"PZ10tRNA","26"
"PZ11","53"
"PZ11NMR","53"
"PZ12","51"
"PZ13","55"
"PZ14Bound","61"
"PZ14Free","52"
"PZ15","75"
"PZ15noend","74"
"PZ15reconstruct","74"
"PZ16a","85"
"PZ16b","92"
"PZ17","107"
"PZ18","52"
"PZ19","54"
"PZ2","12"
"PZ20","40"
"PZ21","59"
"PZ22","50"
"PZ22Dimer","65"
"PZ23","35"
"PZ24","90"
"PZ25","49"
"PZ26","67"
"PZ26tBox","67"
"PZ26tRNA","67"
"PZ27","67"
"PZ27tBox","67"
"PZ27tRNA","67"
"PZ28","72"
"PZ28tBox","72"
"PZ28tRNA","72"
"PZ29","36"
"PZ3","12"
"PZ30","34"
"PZ31","72"
"PZ32","106"
"PZ33","110"
"PZ34","101"
"PZ35","107"
"PZ36","38"
"PZ37","90"
"PZ38","84"
"PZ39","115"
"PZ4","30"
"PZ5","25"
"PZ6","34"
"PZ7","52"
"PZ8","42"
"PZ9","34"
