Target,Type,Source,ModelGroup,gGSP
CR1107,Ribozyme,CASP RNA,TS029_1,32.178
CR1107,Ribozyme,CASP RNA,TS029_2,32.35
CR1107,Ribozyme,CASP RNA,TS035_1,13.128
CR1107,Ribozyme,CASP RNA,TS035_2,13.213
CR1107,Ribozyme,CASP RNA,TS035_3,13.458
CR1107,Ribozyme,CASP RNA,TS035_4,13.404
CR1107,Ribozyme,CASP RNA,TS035_5,13.225
CR1107,Ribozyme,CASP RNA,TS054_1,99.782
CR1107,Ribozyme,CASP RNA,TS054_2,100.0
CR1107,Ribozyme,CASP RNA,TS054_3,93.549
CR1107,Ribozyme,CASP RNA,TS054_4,99.927
CR1107,Ribozyme,CASP RNA,TS054_5,96.067
CR1107,Ribozyme,CASP RNA,TS076_1,13.984
CR1107,Ribozyme,CASP RNA,TS076_2,14.136
CR1107,Ribozyme,CASP RNA,TS076_3,17.555
CR1107,Ribozyme,CASP RNA,TS076_4,16.16
CR1107,Ribozyme,CASP RNA,TS076_5,17.909
CR1107,Ribozyme,CASP RNA,TS081_1,40.171
CR1107,Ribozyme,CASP RNA,TS081_2,39.959
CR1107,Ribozyme,CASP RNA,TS081_3,46.065
CR1107,Ribozyme,CASP RNA,TS081_4,71.372
CR1107,Ribozyme,CASP RNA,TS091_1,5.746
CR1107,Ribozyme,CASP RNA,TS091_2,5.428
CR1107,Ribozyme,CASP RNA,TS091_3,5.501
CR1107,Ribozyme,CASP RNA,TS091_4,5.734
CR1107,Ribozyme,CASP RNA,TS091_5,5.174
CR1107,Ribozyme,CASP RNA,TS097_1,37.439
CR1107,Ribozyme,CASP RNA,TS119_1,27.001
CR1107,Ribozyme,CASP RNA,TS119_2,23.784
CR1107,Ribozyme,CASP RNA,TS119_3,37.539
CR1107,Ribozyme,CASP RNA,TS119_4,31.361
CR1107,Ribozyme,CASP RNA,TS119_5,34.634
CR1107,Ribozyme,CASP RNA,TS125_1,95.837
CR1107,Ribozyme,CASP RNA,TS125_2,95.952
CR1107,Ribozyme,CASP RNA,TS125_3,49.387
CR1107,Ribozyme,CASP RNA,TS125_4,14.683
CR1107,Ribozyme,CASP RNA,TS125_5,14.934
CR1107,Ribozyme,CASP RNA,TS128_1,32.507
CR1107,Ribozyme,CASP RNA,TS128_2,32.175
CR1107,Ribozyme,CASP RNA,TS128_3,100.0
CR1107,Ribozyme,CASP RNA,TS128_4,41.702
CR1107,Ribozyme,CASP RNA,TS128_5,47.378
CR1107,Ribozyme,CASP RNA,TS131_1,7.501
CR1107,Ribozyme,CASP RNA,TS131_2,7.044
CR1107,Ribozyme,CASP RNA,TS131_3,6.457
CR1107,Ribozyme,CASP RNA,TS131_4,7.044
CR1107,Ribozyme,CASP RNA,TS131_5,8.311
CR1107,Ribozyme,CASP RNA,TS147_1,8.339
CR1107,Ribozyme,CASP RNA,TS147_2,7.879
CR1107,Ribozyme,CASP RNA,TS147_3,8.012
CR1107,Ribozyme,CASP RNA,TS147_4,7.836
CR1107,Ribozyme,CASP RNA,TS147_5,7.712
CR1107,Ribozyme,CASP RNA,TS163_1,29.89
CR1107,Ribozyme,CASP RNA,TS163_2,17.945
CR1107,Ribozyme,CASP RNA,TS163_5,18.054
CR1107,Ribozyme,CASP RNA,TS227_1,7.985
CR1107,Ribozyme,CASP RNA,TS227_2,7.83
CR1107,Ribozyme,CASP RNA,TS227_3,7.809
CR1107,Ribozyme,CASP RNA,TS227_4,8.175
CR1107,Ribozyme,CASP RNA,TS227_5,7.951
CR1107,Ribozyme,CASP RNA,TS229_1,18.054
CR1107,Ribozyme,CASP RNA,TS229_2,18.054
CR1107,Ribozyme,CASP RNA,TS229_3,18.054
CR1107,Ribozyme,CASP RNA,TS229_4,18.054
CR1107,Ribozyme,CASP RNA,TS229_5,18.054
CR1107,Ribozyme,CASP RNA,TS232_1,100.0
CR1107,Ribozyme,CASP RNA,TS232_2,100.0
CR1107,Ribozyme,CASP RNA,TS232_3,100.0
CR1107,Ribozyme,CASP RNA,TS232_4,100.0
CR1107,Ribozyme,CASP RNA,TS232_5,100.0
CR1107,Ribozyme,CASP RNA,TS235_1,11.812
CR1107,Ribozyme,CASP RNA,TS235_2,9.101
CR1107,Ribozyme,CASP RNA,TS235_3,11.7
CR1107,Ribozyme,CASP RNA,TS235_4,11.334
CR1107,Ribozyme,CASP RNA,TS235_5,12.568
CR1107,Ribozyme,CASP RNA,TS238_1,16.683
CR1107,Ribozyme,CASP RNA,TS245_1,13.906
CR1107,Ribozyme,CASP RNA,TS245_2,15.34
CR1107,Ribozyme,CASP RNA,TS245_3,13.561
CR1107,Ribozyme,CASP RNA,TS245_4,16.184
CR1107,Ribozyme,CASP RNA,TS245_5,11.434
CR1107,Ribozyme,CASP RNA,TS248_1,13.056
CR1107,Ribozyme,CASP RNA,TS248_2,13.984
CR1107,Ribozyme,CASP RNA,TS248_3,13.352
CR1107,Ribozyme,CASP RNA,TS248_4,13.385
CR1107,Ribozyme,CASP RNA,TS248_5,13.758
CR1107,Ribozyme,CASP RNA,TS285_1,16.018
CR1107,Ribozyme,CASP RNA,TS285_2,16.65
CR1107,Ribozyme,CASP RNA,TS285_3,15.071
CR1107,Ribozyme,CASP RNA,TS285_4,16.617
CR1107,Ribozyme,CASP RNA,TS285_5,15.782
CR1107,Ribozyme,CASP RNA,TS287_1,100.0
CR1107,Ribozyme,CASP RNA,TS287_2,100.0
CR1107,Ribozyme,CASP RNA,TS287_3,44.831
CR1107,Ribozyme,CASP RNA,TS287_4,100.0
CR1107,Ribozyme,CASP RNA,TS287_5,49.856
CR1107,Ribozyme,CASP RNA,TS385_1,14.729
CR1107,Ribozyme,CASP RNA,TS385_2,15.34
CR1107,Ribozyme,CASP RNA,TS385_3,13.561
CR1107,Ribozyme,CASP RNA,TS385_4,16.184
CR1107,Ribozyme,CASP RNA,TS385_5,11.434
CR1107,Ribozyme,CASP RNA,TS392_1,43.333
CR1107,Ribozyme,CASP RNA,TS392_2,39.699
CR1107,Ribozyme,CASP RNA,TS392_3,39.018
CR1107,Ribozyme,CASP RNA,TS392_4,41.348
CR1107,Ribozyme,CASP RNA,TS392_5,37.282
CR1107,Ribozyme,CASP RNA,TS416_1,100.0
CR1107,Ribozyme,CASP RNA,TS416_2,96.403
CR1107,Ribozyme,CASP RNA,TS416_3,97.304
CR1107,Ribozyme,CASP RNA,TS416_4,45.72
CR1107,Ribozyme,CASP RNA,TS416_5,100.0
CR1107,Ribozyme,CASP RNA,TS434_1,7.994
CR1107,Ribozyme,CASP RNA,TS434_2,7.839
CR1107,Ribozyme,CASP RNA,TS434_3,8.218
CR1107,Ribozyme,CASP RNA,TS434_4,7.718
CR1107,Ribozyme,CASP RNA,TS434_5,7.861
CR1107,Ribozyme,CASP RNA,TS439_1,35.808
CR1107,Ribozyme,CASP RNA,TS439_2,18.054
CR1107,Ribozyme,CASP RNA,TS439_3,18.278
CR1107,Ribozyme,CASP RNA,TS439_4,35.808
CR1107,Ribozyme,CASP RNA,TS439_5,18.054
CR1107,Ribozyme,CASP RNA,TS470_1,99.946
CR1107,Ribozyme,CASP RNA,TS470_2,100.0
CR1107,Ribozyme,CASP RNA,TS470_3,99.946
CR1107,Ribozyme,CASP RNA,TS470_4,99.979
CR1107,Ribozyme,CASP RNA,TS470_5,99.982
CR1107,Ribozyme,CASP RNA,TS489_1,99.946
CR1107,Ribozyme,CASP RNA,TS489_2,100.0
CR1107,Ribozyme,CASP RNA,TS489_3,99.946
CR1107,Ribozyme,CASP RNA,TS489_4,99.979
CR1107,Ribozyme,CASP RNA,TS489_5,99.982
CR1107,Ribozyme,CASP RNA,TSR01_10,48.477
CR1107,Ribozyme,CASP RNA,TSR01_1,100.0
CR1107,Ribozyme,CASP RNA,TSR01_2,100.0
CR1107,Ribozyme,CASP RNA,TSR01_3,45.487
CR1107,Ribozyme,CASP RNA,TSR01_4,100.0
CR1107,Ribozyme,CASP RNA,TSR01_5,100.0
CR1107,Ribozyme,CASP RNA,TSR01_6,44.831
CR1107,Ribozyme,CASP RNA,TSR01_7,100.0
CR1107,Ribozyme,CASP RNA,TSR01_8,49.808
CR1107,Ribozyme,CASP RNA,TSR01_9,100.0
CR1107,Ribozyme,CASP RNA,TSR02_1,8.499
CR1107,Ribozyme,CASP RNA,TSR02_2,7.183
CR1107,Ribozyme,CASP RNA,TSR02_3,7.119
CR1107,Ribozyme,CASP RNA,TSR02_4,12.699
CR1107,Ribozyme,CASP RNA,TSR02_5,8.659
CR1107,Ribozyme,CASP RNA,TSR02_6,14.133
CR1107,Ribozyme,CASP RNA,TSR02_7,7.694
CR1107,Ribozyme,CASP RNA,TSR02_8,18.435
CR1107,Ribozyme,CASP RNA,TSR03_1,39.893
CR1107,Ribozyme,CASP RNA,TSR03_2,39.267
CR1107,Ribozyme,CASP RNA,TSR03_3,41.681
CR1107,Ribozyme,CASP RNA,TSR03_4,37.575
CR1107,Ribozyme,CASP RNA,TSR03_5,43.596
CR1107,Ribozyme,CASP RNA,TSR04_1,32.507
CR1107,Ribozyme,CASP RNA,TSR04_2,32.175
CR1107,Ribozyme,CASP RNA,TSR04_3,100.0
CR1107,Ribozyme,CASP RNA,TSR04_4,41.702
CR1107,Ribozyme,CASP RNA,TSR04_5,47.378
CR1107,Ribozyme,CASP RNA,TSR05_1,32.683
CR1107,Ribozyme,CASP RNA,TSR05_2,35.551
CR1107,Ribozyme,CASP RNA,TSR05_3,36.238
CR1107,Ribozyme,CASP RNA,TSR05_4,29.476
CR1107,Ribozyme,CASP RNA,TSR05_5,30.199
CR1107,Ribozyme,CASP RNA,TSR05_6,29.984
CR1107,Ribozyme,CASP RNA,TSR05_7,39.009
CR1107,Ribozyme,CASP RNA,TSR06_1,95.964
CR1107,Ribozyme,CASP RNA,TSR06_2,97.743
CR1107,Ribozyme,CASP RNA,TSR06_3,79.153
CR1107,Ribozyme,CASP RNA,TSR06_4,99.304
CR1107,Ribozyme,CASP RNA,TSR06_5,100.0
CR1107,Ribozyme,CASP RNA,TSR07_1,28.29
CR1107,Ribozyme,CASP RNA,TSR07_2,22.732
CR1107,Ribozyme,CASP RNA,TSR07_3,29.309
CR1107,Ribozyme,CASP RNA,TSR07_4,27.633
CR1107,Ribozyme,CASP RNA,TSR07_5,24.247
CR1107,Ribozyme,CASP RNA,TSR08_1,40.171
CR1107,Ribozyme,CASP RNA,TSR08_2,39.959
CR1107,Ribozyme,CASP RNA,TSR08_3,46.065
CR1107,Ribozyme,CASP RNA,TSR08_4,71.372
CR1108,Ribozyme,CASP RNA,TS029_1,34.816
CR1108,Ribozyme,CASP RNA,TS029_2,35.061
CR1108,Ribozyme,CASP RNA,TS035_1,30.402
CR1108,Ribozyme,CASP RNA,TS035_2,26.12
CR1108,Ribozyme,CASP RNA,TS035_3,30.405
CR1108,Ribozyme,CASP RNA,TS035_4,30.114
CR1108,Ribozyme,CASP RNA,TS035_5,12.977
CR1108,Ribozyme,CASP RNA,TS054_1,100.0
CR1108,Ribozyme,CASP RNA,TS054_2,100.0
CR1108,Ribozyme,CASP RNA,TS054_3,100.0
CR1108,Ribozyme,CASP RNA,TS054_4,100.0
CR1108,Ribozyme,CASP RNA,TS054_5,100.0
CR1108,Ribozyme,CASP RNA,TS081_1,40.332
CR1108,Ribozyme,CASP RNA,TS081_2,41.542
CR1108,Ribozyme,CASP RNA,TS081_3,50.147
CR1108,Ribozyme,CASP RNA,TS081_4,82.833
CR1108,Ribozyme,CASP RNA,TS091_1,4.554
CR1108,Ribozyme,CASP RNA,TS091_2,5.709
CR1108,Ribozyme,CASP RNA,TS091_3,5.794
CR1108,Ribozyme,CASP RNA,TS091_4,4.898
CR1108,Ribozyme,CASP RNA,TS091_5,5.004
CR1108,Ribozyme,CASP RNA,TS097_1,22.75
CR1108,Ribozyme,CASP RNA,TS119_1,24.423
CR1108,Ribozyme,CASP RNA,TS119_2,32.096
CR1108,Ribozyme,CASP RNA,TS119_3,28.09
CR1108,Ribozyme,CASP RNA,TS119_4,27.757
CR1108,Ribozyme,CASP RNA,TS119_5,38.174
CR1108,Ribozyme,CASP RNA,TS125_1,100.0
CR1108,Ribozyme,CASP RNA,TS125_2,100.0
CR1108,Ribozyme,CASP RNA,TS125_3,100.0
CR1108,Ribozyme,CASP RNA,TS125_4,100.0
CR1108,Ribozyme,CASP RNA,TS125_5,100.0
CR1108,Ribozyme,CASP RNA,TS128_1,34.144
CR1108,Ribozyme,CASP RNA,TS128_2,33.53
CR1108,Ribozyme,CASP RNA,TS128_3,100.0
CR1108,Ribozyme,CASP RNA,TS128_4,43.947
CR1108,Ribozyme,CASP RNA,TS128_5,49.13
CR1108,Ribozyme,CASP RNA,TS131_1,7.501
CR1108,Ribozyme,CASP RNA,TS131_2,6.917
CR1108,Ribozyme,CASP RNA,TS131_3,7.455
CR1108,Ribozyme,CASP RNA,TS131_4,6.895
CR1108,Ribozyme,CASP RNA,TS131_5,6.917
CR1108,Ribozyme,CASP RNA,TS147_1,35.016
CR1108,Ribozyme,CASP RNA,TS147_2,35.152
CR1108,Ribozyme,CASP RNA,TS147_3,34.795
CR1108,Ribozyme,CASP RNA,TS147_4,33.503
CR1108,Ribozyme,CASP RNA,TS147_5,34.843
CR1108,Ribozyme,CASP RNA,TS163_1,98.826
CR1108,Ribozyme,CASP RNA,TS227_1,37.893
CR1108,Ribozyme,CASP RNA,TS227_2,25.775
CR1108,Ribozyme,CASP RNA,TS227_3,33.808
CR1108,Ribozyme,CASP RNA,TS227_4,35.022
CR1108,Ribozyme,CASP RNA,TS227_5,35.978
CR1108,Ribozyme,CASP RNA,TS229_1,88.451
CR1108,Ribozyme,CASP RNA,TS229_2,88.451
CR1108,Ribozyme,CASP RNA,TS229_3,88.451
CR1108,Ribozyme,CASP RNA,TS229_4,88.451
CR1108,Ribozyme,CASP RNA,TS229_5,88.451
CR1108,Ribozyme,CASP RNA,TS232_1,100.0
CR1108,Ribozyme,CASP RNA,TS232_2,100.0
