Lab,Num,P-value
Das,4,0.00e+00
Das,3,0.00e+00
Das,1,0.00e+00
Das,5,0.00e+00
Das,2,0.00e+00
Bujnicki,4,0.00e+00
Bujnicki,8,0.00e+00
Bujnicki,1,0.00e+00
Bujnicki,5,0.00e+00
Bujnicki,7,0.00e+00
Bujnicki,3,0.00e+00
Bujnicki,9,0.00e+00
Bujnicki,6,0.00e+00
Bujnicki,10,0.00e+00
Bujnicki,2,0.00e+00
Dokholyan,2,0.00e+00
Dokholyan,3,0.00e+00
Chen,1,0.00e+00
Dokholyan,10,0.00e+00
Dokholyan,8,0.00e+00
Dokholyan,9,5.55e-17
Dokholyan,4,3.33e-16
Dokholyan,1,1.11e-15
Dokholyan,5,1.80e-12
Dokholyan,7,3.72e-11
Dokholyan,6,3.48e-09
