Lab,Num,INF stacking
TS232,1,0.804
TS232,2,0.800
TS232,5,0.781
TS232,4,0.855
TS416,1,0.717
TS232,3,0.811
TS128,3,0.729
TSR04,3,0.729
TS470,5,0.721
TS489,5,0.721
TS054,2,0.789
TS287,2,0.766
TSR01,5,0.766
TS416,5,0.741
TS470,3,0.696
TS489,3,0.696
TS287,4,0.766
TSR01,7,0.766
TSR01,9,0.755
TS470,1,0.761
TS489,1,0.761
TSR01,2,0.766
TSR01,4,0.778
TS287,1,0.766
TS470,4,0.729
TS489,4,0.729
TSR01,1,0.759
TS470,2,0.699
TS489,2,0.699
TS054,4,0.773
TSR06,4,0.705
TS054,1,0.781
TS416,3,0.679
TSR06,5,0.687
TS125,2,0.746
TS416,2,0.641
TS054,5,0.704
TS125,1,0.729
TSR06,2,0.712
TSR06,1,0.692
TS054,3,0.733
TS081,4,0.673
TSR08,4,0.673
TS125,3,0.602
TS416,4,0.655
TSR06,3,0.766
TS081,3,0.763
TSR08,3,0.763
TS119,3,0.769
TS081,1,0.733
TSR08,1,0.733
TS081,2,0.733
TSR08,2,0.733
TS163,1,0.661
TS128,5,0.635
TSR04,5,0.635
TS119,5,0.787
TSR01,8,0.746
TSR05,3,0.627
TS287,5,0.736
TS128,1,0.758
TSR04,1,0.758
TSR01,10,0.731
TSR05,1,0.622
TS287,3,0.750
TSR01,6,0.750
TS392,1,0.810
TSR03,5,0.810
TSR05,4,0.617
TSR05,7,0.627
TS029,2,0.527
TS029,1,0.529
TSR05,2,0.543
TSR01,3,0.731
TS097,1,0.486
TSR05,5,0.631
TS128,2,0.758
TSR04,2,0.758
TSR05,6,0.557
TS119,1,0.710
TSR03,3,0.751
TS392,4,0.751
TS163,2,0.604
TS163,5,0.719
TS229,1,0.719
TS229,2,0.719
TS229,3,0.719
TS229,4,0.719
TS229,5,0.719
TS439,2,0.719
TS439,5,0.719
TS392,2,0.754
TSR03,1,0.754
TSR07,3,0.656
TS392,3,0.729
TSR03,2,0.729
TS238,1,0.699
TSR07,1,0.612
TS076,5,0.745
TS245,4,0.569
TS385,4,0.569
TSR07,4,0.683
TS076,3,0.733
TS245,5,0.583
TS385,5,0.583
TS119,4,0.763
TS235,5,0.691
TS439,1,0.743
TS439,4,0.743
TS125,5,0.528
TS125,4,0.521
TSR03,4,0.713
TS392,5,0.713
TS119,2,0.734
TS285,3,0.532
TS076,2,0.738
TS439,3,0.673
TSR02,8,0.687
TS076,1,0.651
TSR07,5,0.670
TS128,4,0.714
TSR04,4,0.714
TS035,1,0.551
TS285,1,0.506
TSR02,5,0.661
TSR02,1,0.644
TS285,2,0.527
TS285,5,0.493
TS245,2,0.583
TS385,2,0.583
TS035,3,0.552
TS285,4,0.518
TS035,5,0.555
TS035,2,0.545
TS035,4,0.566
TS076,4,0.733
TS248,2,0.655
TS248,5,0.686
TS385,1,0.577
TS248,4,0.692
TS245,1,0.524
TS434,2,0.727
TS248,3,0.667
TS248,1,0.667
TS245,3,0.611
TS385,3,0.611
TSR02,6,0.622
TSR02,4,0.648
TS147,3,0.727
TS227,5,0.686
TS434,1,0.721
TS235,1,0.714
TS227,2,0.739
TS434,3,0.733
TS147,4,0.674
TS227,4,0.744
TSR07,2,0.582
TS147,5,0.745
TS434,5,0.744
TS227,3,0.680
TS227,1,0.692
TS235,2,0.705
TS147,2,0.703
TS147,1,0.685
TS235,4,0.710
TSR02,7,0.610
TS434,4,0.674
TSR02,3,0.722
TS235,3,0.716
TSR02,2,0.661
TS131,5,0.715
TS131,4,0.716
TS131,2,0.753
TS131,3,0.729
TS131,1,0.629
TS091,1,0.173
TS091,2,0.168
TS091,3,0.230
TS091,4,0.146
TS091,5,0.156
