Lab,Num,TM-score
TS232,1,0.5640
TS232,2,0.4980
TS232,5,0.4730
TS232,4,0.4880
TS416,1,0.4620
TS232,3,0.4870
TS128,3,0.3970
TSR04,3,0.3970
TS470,5,0.4200
TS489,5,0.4200
TS054,2,0.3720
TS287,2,0.4190
TSR01,5,0.4100
TS416,5,0.4640
TS470,3,0.3750
TS489,3,0.3750
TS287,4,0.4040
TSR01,7,0.4040
TSR01,9,0.4190
TS470,1,0.3810
TS489,1,0.3810
TSR01,2,0.4160
TSR01,4,0.4110
TS287,1,0.4100
TS470,4,0.3770
TS489,4,0.3770
TSR01,1,0.4160
TS470,2,0.3810
TS489,2,0.3810
TS054,4,0.3680
TSR06,4,0.3900
TS054,1,0.3580
TS416,3,0.3900
TSR06,5,0.3540
TS125,2,0.3920
TS416,2,0.3920
TS054,5,0.3960
TS125,1,0.3930
TSR06,2,0.3400
TSR06,1,0.3570
TS054,3,0.3740
TS081,4,0.3240
TSR08,4,0.3240
TS125,3,0.2580
TS416,4,0.2410
TSR06,3,0.2950
TS081,3,0.3230
TSR08,3,0.3230
TS119,3,0.2610
TS081,1,0.3330
TSR08,1,0.3330
TS081,2,0.3300
TSR08,2,0.3300
TS163,1,0.2490
TS128,5,0.2400
TSR04,5,0.2400
TS119,5,0.2210
TSR01,8,0.3350
TSR05,3,0.2540
TS287,5,0.3400
TS128,1,0.3410
TSR04,1,0.3410
TSR01,10,0.3380
TSR05,1,0.2250
TS287,3,0.3290
TSR01,6,0.3290
TS392,1,0.2870
TSR03,5,0.2870
TSR05,4,0.2290
TSR05,7,0.3140
TS029,2,0.2800
TS029,1,0.2760
TSR05,2,0.2220
TSR01,3,0.3400
TS097,1,0.2090
TSR05,5,0.2150
TS128,2,0.2890
TSR04,2,0.2890
TSR05,6,0.2190
TS119,1,0.2510
TSR03,3,0.2320
TS392,4,0.2320
TS163,2,0.2930
TS163,5,0.2960
TS229,1,0.2960
TS229,2,0.2960
TS229,3,0.2960
TS229,4,0.2960
TS229,5,0.2960
TS439,2,0.2960
TS439,5,0.2960
TS392,2,0.2290
TSR03,1,0.2290
TSR07,3,0.3000
TS392,3,0.2230
TSR03,2,0.2230
TS238,1,0.2670
TSR07,1,0.2820
TS076,5,0.2280
TS245,4,0.1910
TS385,4,0.1910
TSR07,4,0.2740
TS076,3,0.2990
TS245,5,0.1440
TS385,5,0.1440
TS119,4,0.2240
TS235,5,0.1920
TS439,1,0.2850
TS439,4,0.2850
TS125,5,0.2350
TS125,4,0.2400
TSR03,4,0.2390
TS392,5,0.2390
TS119,2,0.2410
TS285,3,0.2620
TS076,2,0.2550
TS439,3,0.2640
TSR02,8,0.2330
TS076,1,0.2320
TSR07,5,0.2930
TS128,4,0.3000
TSR04,4,0.3000
TS035,1,0.2330
TS285,1,0.2450
TSR02,5,0.2500
TSR02,1,0.2490
TS285,2,0.2520
TS285,5,0.2360
TS245,2,0.2060
TS385,2,0.2060
TS035,3,0.2110
TS285,4,0.2530
TS035,5,0.2410
TS035,2,0.1930
TS035,4,0.1510
TS076,4,0.2290
TS248,2,0.3230
TS248,5,0.2780
TS385,1,0.2640
TS248,4,0.3000
TS245,1,0.2560
TS434,2,0.2460
TS248,3,0.2860
TS248,1,0.3740
TS245,3,0.2140
TS385,3,0.2140
TSR02,6,0.2610
TSR02,4,0.2610
TS147,3,0.2480
TS227,5,0.2450
TS434,1,0.2670
TS235,1,0.2140
TS227,2,0.2070
TS434,3,0.2810
TS147,4,0.2560
TS227,4,0.2640
TSR07,2,0.2610
TS147,5,0.2430
TS434,5,0.2620
TS227,3,0.2720
TS227,1,0.2170
TS235,2,0.1560
TS147,2,0.2400
TS147,1,0.2530
TS235,4,0.2320
TSR02,7,0.2080
TS434,4,0.2610
TSR02,3,0.2070
TS235,3,0.2710
TSR02,2,0.2720
TS131,5,0.2450
TS131,4,0.1720
TS131,2,0.1720
TS131,3,0.1840
TS131,1,0.1740
TS091,1,0.1540
TS091,2,0.1410
TS091,3,0.1340
TS091,4,0.1520
TS091,5,0.1630
