Lab,Num,INF all
TS232,1,0.814
TS232,2,0.817
TS232,5,0.798
TS232,4,0.855
TS416,1,0.729
TS232,3,0.820
TS128,3,0.757
TSR04,3,0.757
TS470,5,0.742
TS489,5,0.742
TS054,2,0.809
TS287,2,0.790
TSR01,5,0.784
TS416,5,0.754
TS470,3,0.720
TS489,3,0.720
TS287,4,0.784
TSR01,7,0.784
TSR01,9,0.781
TS470,1,0.757
TS489,1,0.757
TSR01,2,0.790
TSR01,4,0.798
TS287,1,0.790
TS470,4,0.745
TS489,4,0.745
TSR01,1,0.790
TS470,2,0.718
TS489,2,0.718
TS054,4,0.786
TSR06,4,0.745
TS054,1,0.803
TS416,3,0.722
TSR06,5,0.727
TS125,2,0.765
TS416,2,0.713
TS054,5,0.734
TS125,1,0.744
TSR06,2,0.736
TSR06,1,0.717
TS054,3,0.769
TS081,4,0.658
TSR08,4,0.658
TS125,3,0.655
TS416,4,0.651
TSR06,3,0.781
TS081,3,0.732
TSR08,3,0.732
TS119,3,0.777
TS081,1,0.717
TSR08,1,0.717
TS081,2,0.723
TSR08,2,0.723
TS163,1,0.613
TS128,5,0.678
TSR04,5,0.678
TS119,5,0.744
TSR01,8,0.716
TSR05,3,0.584
TS287,5,0.709
TS128,1,0.763
TSR04,1,0.763
TSR01,10,0.705
TSR05,1,0.571
TS287,3,0.720
TSR01,6,0.720
TS392,1,0.792
TSR03,5,0.792
TSR05,4,0.565
TSR05,7,0.582
TS029,2,0.568
TS029,1,0.534
TSR05,2,0.514
TSR01,3,0.705
TS097,1,0.483
TSR05,5,0.565
TS128,2,0.769
TSR04,2,0.769
TSR05,6,0.527
TS119,1,0.690
TSR03,3,0.742
TS392,4,0.742
TS163,2,0.551
TS163,5,0.608
TS229,1,0.608
TS229,2,0.608
TS229,3,0.608
TS229,4,0.608
TS229,5,0.608
TS439,2,0.608
TS439,5,0.608
TS392,2,0.748
TSR03,1,0.748
TSR07,3,0.702
TS392,3,0.739
TSR03,2,0.739
TS238,1,0.613
TSR07,1,0.641
TS076,5,0.654
TS245,4,0.467
TS385,4,0.467
TSR07,4,0.722
TS076,3,0.629
TS245,5,0.485
TS385,5,0.485
TS119,4,0.766
TS235,5,0.593
TS439,1,0.697
TS439,4,0.697
TS125,5,0.434
TS125,4,0.425
TSR03,4,0.717
TS392,5,0.717
TS119,2,0.750
TS285,3,0.449
TS076,2,0.655
TS439,3,0.603
TSR02,8,0.564
TS076,1,0.580
TSR07,5,0.712
TS128,4,0.718
TSR04,4,0.718
TS035,1,0.449
TS285,1,0.449
TSR02,5,0.497
TSR02,1,0.481
TS285,2,0.478
TS285,5,0.452
TS245,2,0.519
TS385,2,0.519
TS035,3,0.479
TS285,4,0.464
TS035,5,0.497
TS035,2,0.456
TS035,4,0.467
TS076,4,0.641
TS248,2,0.527
TS248,5,0.554
TS385,1,0.528
TS248,4,0.557
TS245,1,0.464
TS434,2,0.577
TS248,3,0.541
TS248,1,0.537
TS245,3,0.552
TS385,3,0.552
TSR02,6,0.511
TSR02,4,0.562
TS147,3,0.579
TS227,5,0.538
TS434,1,0.571
TS235,1,0.670
TS227,2,0.592
TS434,3,0.590
TS147,4,0.528
TS227,4,0.588
TSR07,2,0.612
TS147,5,0.592
TS434,5,0.589
TS227,3,0.542
TS227,1,0.542
TS235,2,0.587
TS147,2,0.559
TS147,1,0.539
TS235,4,0.668
TSR02,7,0.451
TS434,4,0.539
TSR02,3,0.534
TS235,3,0.672
TSR02,2,0.484
TS131,5,0.590
TS131,4,0.619
TS131,2,0.650
TS131,3,0.630
TS131,1,0.543
TS091,1,0.147
TS091,2,0.145
TS091,3,0.195
TS091,4,0.122
TS091,5,0.128
