residue,rGSP
"""A1""",80.767
"""A2""",83.591
"""A3""",83.591
"""A4""",80.767
"""A5""",71.067
"""A6""",50.754
"""A7""",18.971
"""A8""",13.14
"""A9""",19.228
"""A10""",25.059
"""A11""",55.238
"""A12""",71.067
"""A13""",86.212
"""A14""",86.212
"""A15""",88.63
"""A16""",83.591
"""A17""",74.506
"""A18""",55.238
"""A19""",41.143
"""A20""",19.228
"""A21""",13.14
"""A25""",25.059
"""A26""",13.14
"""A27""",25.059
"""A28""",30.649
"""A29""",13.14
"""A30""",30.649
"""A31""",59.509
"""A33""",86.212
"""A34""",88.63
"""A35""",86.212
"""A36""",77.739
"""A37""",83.591
"""A38""",71.067
"""A39""",86.212
"""A40""",86.212
"""A41""",83.591
"""A42""",71.067
"""A43""",59.509
"""A44""",50.754
"""A45""",71.067
"""A46""",80.767
"""A47""",83.591
"""A48""",74.506
"""A49""",55.238
"""A50""",41.143
"""A51""",19.228
"""A52""",13.14
"""A53""",13.14
"""A54""",25.059
"""A55""",36.008
"""A56""",63.57
"""A57""",80.767
"""A58""",86.212
"""A59""",88.63
"""A60""",90.836
"""A61""",92.822
