Lab,Num,INF stacking
TS232,4,0.785
TS232,2,0.778
TS232,1,0.788
TS232,3,0.782
TS232,5,0.778
TS287,2,0.718
TS287,5,0.789
TS081,1,0.797
TS081,3,0.803
TS081,2,0.804
TS235,1,0.715
TS245,4,0.526
TS434,1,0.724
TS238,1,0.491
TS238,2,0.220
TS125,3,0.709
TS235,2,0.754
TS227,2,0.710
TS076,5,0.659
TS229,3,0.659
TS439,3,0.659
TS185,3,0.637
TS185,1,0.638
TS185,4,0.621
TS128,1,0.707
TS185,2,0.662
TS185,5,0.626
TS235,3,0.725
TS235,4,0.683
TS054,2,0.715
TS470,3,0.495
TS489,3,0.495
TS119,5,0.663
TS035,5,0.480
TS248,5,0.480
TS490,5,0.480
TS470,5,0.384
TS489,5,0.384
TS470,2,0.445
TS489,2,0.445
TS470,1,0.496
TS470,4,0.514
TS489,4,0.514
TS128,4,0.724
TS119,2,0.703
TS238,3,0.370
TS444,1,0.489
TS489,1,0.489
TS177,1,0.436
TS147,2,0.743
TS076,3,0.620
TS076,4,0.620
TS229,1,0.620
TS239,4,0.620
TS439,1,0.620
TS076,1,0.701
TS125,1,0.701
TS119,4,0.698
TS245,2,0.580
TS444,5,0.580
TS147,4,0.737
TS434,5,0.728
TS245,1,0.546
TS385,1,0.546
TS444,3,0.546
TS125,2,0.685
TS125,5,0.691
TS392,1,0.689
TS054,1,0.702
TS054,5,0.709
TS392,2,0.705
TS416,2,0.653
TS227,3,0.714
TS147,1,0.717
TS110,4,0.702
TS239,2,0.662
TS229,2,0.611
TS239,3,0.611
TS439,2,0.611
TS444,2,0.611
TS434,3,0.717
TS119,3,0.701
TS110,5,0.692
TS128,2,0.767
TS054,4,0.720
TS125,4,0.683
TS035,1,0.507
TS248,1,0.507
TS490,1,0.507
TS029,1,0.441
TS035,2,0.487
TS248,2,0.487
TS490,2,0.487
TS035,4,0.523
TS248,4,0.523
TS490,4,0.523
TS147,3,0.736
TS119,1,0.680
TS434,4,0.718
TS110,1,0.691
TS434,2,0.729
TS128,5,0.716
TS235,5,0.707
TS110,3,0.655
TS227,1,0.711
TS128,3,0.725
TS287,4,0.767
TS239,5,0.681
TS229,4,0.657
TS439,4,0.657
TS229,5,0.663
TS439,5,0.663
TS416,1,0.691
TS110,2,0.683
TS029,3,0.471
TS227,5,0.730
TS245,3,0.570
TS035,3,0.515
TS248,3,0.515
TS490,3,0.515
TS245,5,0.549
TS076,2,0.661
TS239,1,0.661
TS444,4,0.661
TS054,3,0.691
TS147,5,0.730
TS287,3,0.802
TS227,4,0.722
TS416,5,0.714
TS097,1,0.268
TS287,1,0.790
TS029,2,0.444
TS416,3,0.636
TS392,3,0.700
TS416,4,0.642
TS131,4,0.623
TS131,3,0.649
TS131,2,0.625
TS131,1,0.638
TS131,5,0.621
