Lab,Num,INF wc
TS232,4,0.973
TS232,2,0.973
TS232,1,0.973
TS232,3,0.973
TS232,5,0.973
TS287,2,0.872
TS287,5,0.839
TS081,1,0.970
TS081,3,0.970
TS081,2,0.970
TS235,1,0.918
TS245,4,0.149
TS434,1,0.904
TS238,1,0.464
TS238,2,0.000
TS125,3,0.913
TS235,2,0.940
TS227,2,0.886
TS076,5,0.705
TS229,3,0.705
TS439,3,0.705
TS185,3,0.673
TS185,1,0.653
TS185,4,0.517
TS128,1,0.892
TS185,2,0.693
TS185,5,0.548
TS235,3,0.930
TS235,4,0.819
TS054,2,0.894
TS470,3,0.517
TS489,3,0.517
TS119,5,0.863
TS035,5,0.150
TS248,5,0.150
TS490,5,0.150
TS470,5,0.334
TS489,5,0.334
TS470,2,0.443
TS489,2,0.443
TS470,1,0.588
TS470,4,0.573
TS489,4,0.573
TS128,4,0.875
TS119,2,0.918
TS238,3,0.260
TS444,1,0.428
TS489,1,0.428
TS177,1,0.030
TS147,2,0.897
TS076,3,0.569
TS076,4,0.569
TS229,1,0.569
TS239,4,0.569
TS439,1,0.569
TS076,1,0.875
TS125,1,0.875
TS119,4,0.887
TS245,2,0.324
TS444,5,0.324
TS147,4,0.886
TS434,5,0.885
TS245,1,0.336
TS385,1,0.336
TS444,3,0.336
TS125,2,0.900
TS125,5,0.841
TS392,1,0.849
TS054,1,0.881
TS054,5,0.911
TS392,2,0.829
TS416,2,0.789
TS227,3,0.908
TS147,1,0.890
TS110,4,0.827
TS239,2,0.717
TS229,2,0.616
TS239,3,0.616
TS439,2,0.616
TS444,2,0.616
TS434,3,0.893
TS119,3,0.888
TS110,5,0.859
TS128,2,0.926
TS054,4,0.814
TS125,4,0.868
TS035,1,0.115
TS248,1,0.115
TS490,1,0.115
TS029,1,0.000
TS035,2,0.149
TS248,2,0.149
TS490,2,0.149
TS035,4,0.174
TS248,4,0.174
TS490,4,0.174
TS147,3,0.901
TS119,1,0.877
TS434,4,0.904
TS110,1,0.810
TS434,2,0.897
TS128,5,0.882
TS235,5,0.835
TS110,3,0.793
TS227,1,0.889
TS128,3,0.870
TS287,4,0.695
TS239,5,0.747
TS229,4,0.745
TS439,4,0.745
TS229,5,0.729
TS439,5,0.729
TS416,1,0.817
TS110,2,0.836
TS029,3,0.164
TS227,5,0.890
TS245,3,0.277
TS035,3,0.081
TS248,3,0.081
TS490,3,0.081
TS245,5,0.298
TS076,2,0.617
TS239,1,0.617
TS444,4,0.617
TS054,3,0.809
TS147,5,0.900
TS287,3,0.798
TS227,4,0.901
TS416,5,0.765
TS097,1,0.060
TS287,1,0.762
TS029,2,0.146
TS416,3,0.739
TS392,3,0.844
TS416,4,0.661
TS131,4,0.000
TS131,3,0.000
TS131,2,-
TS131,1,-
TS131,5,0.000
