Lab,Num,P-value
Szachniuk,4,7.22e-16
Bujnicki,5,5.72e-15
Ding,1,1.16e-14
Szachniuk,1,8.01e-12
Bujnicki,4,1.22e-11
Chen,1,7.27e-11
Szachniuk,3,2.03e-10
Szachniuk,2,3.92e-10
Chen,4,4.18e-10
Ding,3,2.52e-09
RNAComposer,3,1.60e-07
RNAComposer,2,2.43e-06
RNAComposer,1,4.29e-06
Chen,5,1.22e-05
Ding,2,1.23e-05
RNAComposer,4,7.29e-05
RNAComposer,5,1.51e-04
Nithin,1,6.33e-04
Ding,4,1.09e-03
Nithin,4,1.68e-03
Nithin,2,2.41e-03
Chen,2,2.92e-03
Nithin,3,3.55e-03
Chen,10,4.11e-03
Nithin,5,5.77e-03
Chen,6,1.23e-02
Chen,9,2.69e-02
Chen,7,3.64e-02
Chen,8,4.41e-02
Chen,3,6.97e-02
Bujnicki,2,1.57e-01
Bujnicki,3,8.74e-01
Bujnicki,1,9.07e-01
