Lab,Num,INF wc
Szachniuk,4,0.616
Bujnicki,5,0.604
Ding,1,0.506
Szachniuk,1,0.630
Bujnicki,4,0.605
Chen,1,0.871
Szachniuk,3,0.630
Szachniuk,2,0.598
Chen,4,0.884
Ding,3,0.508
RNAComposer,3,0.621
RNAComposer,2,0.605
RNAComposer,1,0.605
Chen,5,0.850
Ding,2,0.537
RNAComposer,4,0.605
RNAComposer,5,0.605
Nithin,1,0.594
Ding,4,0.520
Nithin,4,0.552
Nithin,2,0.602
Chen,2,0.858
Nithin,3,0.585
Chen,10,0.616
Nithin,5,0.605
Chen,6,0.623
Chen,9,0.845
Chen,7,0.850
Chen,8,0.616
Chen,3,0.610
Bujnicki,2,0.575
Bujnicki,3,0.854
Bujnicki,1,0.578
