Lab,Num,DI all
TFN,3,15.035
TFN,7,15.765
Das,9,16.004
Bujnicki,5,16.874
Das,2,17.814
FARFAR2,1,17.814
TFN,8,18.358
FARFAR2,5,18.452
FARFAR2,8,18.613
Bujnicki,3,17.988
Das,1,18.563
Das,5,18.799
FARFAR2,3,18.799
Bujnicki,2,18.376
Das,3,18.844
FARFAR2,10,18.844
Bujnicki,4,18.894
TFN,1,19.731
SimRNA,1,21.563
Das,7,20.089
FARFAR2,6,20.089
Bujnicki,1,19.560
Das,4,20.830
FARFAR2,2,20.830
Das,6,21.263
FARFAR2,4,21.263
TFN,6,20.885
TFN,4,20.843
Ding,2,25.170
Das,10,21.163
Das,8,21.934
FARFAR2,7,21.934
TFN,2,21.983
TFN,9,22.435
Chen,5,21.908
SimRNA,5,18.242
Chen,9,22.130
Chen,2,22.788
SimRNA,3,27.154
Adamiak,1,22.812
Adamiak,3,22.121
RNAComposer,3,23.796
Adamiak,2,23.285
Ding,1,26.229
FARFAR2,9,24.934
TFN,10,20.003
Ding,3,28.703
Xiao,3,37.458
Adamiak,4,24.892
RNAComposer,1,26.023
SimRNA,2,29.855
Chen,6,26.567
Chen,10,25.524
Chen,1,26.261
Chen,4,27.320
Chen,8,27.546
RNAComposer,2,28.045
Xiao,5,41.039
TFN,5,27.708
iFoldRNA,1,23.467
Chen,3,28.896
Chen,7,29.380
iFoldRNA,2,24.590
Xiao,2,51.089
SimRNA,4,29.115
Xiao,1,51.963
Xiao,4,54.223
