Lab,Num,P-value
TFN,3,0.00e+00
TFN,7,0.00e+00
Das,9,0.00e+00
Bujnicki,5,0.00e+00
Das,2,0.00e+00
FARFAR2,1,0.00e+00
TFN,8,0.00e+00
FARFAR2,5,0.00e+00
FARFAR2,8,0.00e+00
Bujnicki,3,0.00e+00
Das,1,0.00e+00
Das,5,0.00e+00
FARFAR2,3,0.00e+00
Bujnicki,2,0.00e+00
Das,3,0.00e+00
FARFAR2,10,0.00e+00
Bujnicki,4,0.00e+00
TFN,1,0.00e+00
SimRNA,1,0.00e+00
Das,7,0.00e+00
FARFAR2,6,0.00e+00
Bujnicki,1,0.00e+00
Das,4,0.00e+00
FARFAR2,2,0.00e+00
Das,6,0.00e+00
FARFAR2,4,0.00e+00
TFN,6,0.00e+00
TFN,4,0.00e+00
Ding,2,0.00e+00
Das,10,0.00e+00
Das,8,0.00e+00
FARFAR2,7,0.00e+00
TFN,2,0.00e+00
TFN,9,0.00e+00
Chen,5,0.00e+00
SimRNA,5,0.00e+00
Chen,9,0.00e+00
Chen,2,0.00e+00
SimRNA,3,0.00e+00
Adamiak,1,0.00e+00
Adamiak,3,0.00e+00
RNAComposer,3,0.00e+00
Adamiak,2,0.00e+00
Ding,1,5.55e-17
FARFAR2,9,4.44e-16
TFN,10,6.66e-16
Ding,3,1.50e-15
Xiao,3,9.99e-15
Adamiak,4,1.02e-14
RNAComposer,1,1.17e-14
SimRNA,2,2.68e-13
Chen,6,2.69e-13
Chen,10,2.89e-13
Chen,1,5.02e-13
Chen,4,1.69e-12
Chen,8,4.78e-12
RNAComposer,2,5.07e-12
Xiao,5,2.76e-11
TFN,5,7.33e-11
iFoldRNA,1,6.54e-10
Chen,3,1.48e-09
Chen,7,1.97e-09
iFoldRNA,2,2.62e-08
Xiao,2,2.47e-04
SimRNA,4,1.70e-03
Xiao,1,3.50e-03
Xiao,4,5.78e-03
