Report for set: PZ27tRNA
Processed 67 / 67 models (missing solution for 0 models)
========================================================================================================================
Model                                              Solution                                           Status          Details                       
------------------------------------------------------------------------------------------------------------------------
PZ27tRNA_Adamiak_1_refined.pdb                     PZ27tRNA_Adamiak_1_solution.pdb                    SUCCESS         41.36                         
PZ27tRNA_Adamiak_2_refined.pdb                     PZ27tRNA_Adamiak_2_solution.pdb                    SUCCESS         39.333                        
PZ27tRNA_Bujnicki_1_refined.pdb                    PZ27tRNA_Bujnicki_1_solution.pdb                   SUCCESS         61.966                        
PZ27tRNA_Bujnicki_2_refined.pdb                    PZ27tRNA_Bujnicki_2_solution.pdb                   SUCCESS         59.577                        
PZ27tRNA_Bujnicki_3_refined.pdb                    PZ27tRNA_Bujnicki_3_solution.pdb                   SUCCESS         58.279                        
PZ27tRNA_Bujnicki_4_refined.pdb                    PZ27tRNA_Bujnicki_4_solution.pdb                   SUCCESS         55.392                        
PZ27tRNA_Bujnicki_5_refined.pdb                    PZ27tRNA_Bujnicki_5_solution.pdb                   SUCCESS         58.126                        
PZ27tRNA_Chen_10_refined.pdb                       PZ27tRNA_Chen_10_solution.pdb                      SUCCESS         55.16                         
PZ27tRNA_Chen_1_refined.pdb                        PZ27tRNA_Chen_1_solution.pdb                       SUCCESS         62.073                        
PZ27tRNA_Chen_2_refined.pdb                        PZ27tRNA_Chen_2_solution.pdb                       SUCCESS         63.188                        
PZ27tRNA_Chen_3_refined.pdb                        PZ27tRNA_Chen_3_solution.pdb                       SUCCESS         65.119                        
PZ27tRNA_Chen_4_refined.pdb                        PZ27tRNA_Chen_4_solution.pdb                       SUCCESS         63.78                         
PZ27tRNA_Chen_5_refined.pdb                        PZ27tRNA_Chen_5_solution.pdb                       SUCCESS         63.657                        
PZ27tRNA_Chen_6_refined.pdb                        PZ27tRNA_Chen_6_solution.pdb                       SUCCESS         57.933                        
PZ27tRNA_Chen_7_refined.pdb                        PZ27tRNA_Chen_7_solution.pdb                       SUCCESS         58.15                         
PZ27tRNA_Chen_8_refined.pdb                        PZ27tRNA_Chen_8_solution.pdb                       SUCCESS         56.814                        
PZ27tRNA_Chen_9_refined.pdb                        PZ27tRNA_Chen_9_solution.pdb                       SUCCESS         58.325                        
PZ27tRNA_Das_10_refined.pdb                        PZ27tRNA_Das_10_solution.pdb                       SUCCESS         61.364                        
