Lab,Num,DI all
Adamiak,5,30.463
Das,6,29.766
Das,5,30.729
Das,2,31.666
Das,3,31.859
Das,10,36.552
SimRNA,2,41.322
Chen,3,35.694
Das,4,39.344
SimRNA,5,43.640
SimRNA,1,45.752
Chen,5,36.381
Das,9,41.432
Das,8,40.646
SimRNA,4,45.223
Bujnicki,1,42.764
Adamiak,3,43.231
Adamiak,1,45.871
Bujnicki,2,44.447
Xiao,4,45.990
Chen,2,41.740
Bujnicki,4,49.374
Adamiak,2,50.322
Adamiak,4,46.356
Chen,4,44.446
Das,7,48.472
SimRNA,3,56.504
Das,1,50.304
Xiao,5,56.747
Xiao,1,59.783
Bujnicki,3,57.196
Dokholyan,1,57.572
Dokholyan,5,55.530
Chen,1,47.235
Xiao,2,63.145
Dokholyan,2,56.372
Dokholyan,3,62.062
Dokholyan,4,64.518
Xiao,3,76.347
Bujnicki,5,98.774
