Lab,Num,P-value
Adamiak,5,0.00e+00
Das,6,0.00e+00
Das,5,0.00e+00
Das,2,0.00e+00
Das,3,0.00e+00
Das,10,2.22e-16
SimRNA,2,3.13e-12
Chen,3,3.38e-12
Das,4,4.62e-12
SimRNA,5,4.57e-11
SimRNA,1,6.76e-11
Chen,5,3.65e-10
Das,9,3.82e-09
Das,8,1.06e-08
SimRNA,4,2.01e-08
Bujnicki,1,3.82e-08
Adamiak,3,4.06e-07
Adamiak,1,7.07e-06
Bujnicki,2,9.85e-06
Xiao,4,1.00e-05
Chen,2,1.67e-05
Bujnicki,4,3.52e-05
Adamiak,2,4.00e-04
Adamiak,4,5.41e-04
Chen,4,1.81e-03
Das,7,3.46e-03
SimRNA,3,4.79e-03
Das,1,7.73e-03
Xiao,5,1.62e-02
Xiao,1,1.88e-02
Bujnicki,3,3.33e-02
Dokholyan,1,3.57e-02
Dokholyan,5,6.03e-02
Chen,1,7.45e-02
Xiao,2,8.14e-02
Dokholyan,2,8.81e-02
Dokholyan,3,3.93e-01
Dokholyan,4,6.84e-01
Xiao,3,9.95e-01
Bujnicki,5,1.00e+00
