Lab,Num,INF stacking
Adamiak,5,0.670
Das,6,0.649
Das,5,0.637
Das,2,0.652
Das,3,0.669
Das,10,0.644
SimRNA,2,0.642
Chen,3,0.696
Das,4,0.637
SimRNA,5,0.654
SimRNA,1,0.607
Chen,5,0.721
Das,9,0.659
Das,8,0.664
SimRNA,4,0.624
Bujnicki,1,0.638
Adamiak,3,0.702
Adamiak,1,0.665
Bujnicki,2,0.676
Xiao,4,0.689
Chen,2,0.707
Bujnicki,4,0.643
Adamiak,2,0.657
Adamiak,4,0.723
Chen,4,0.721
Das,7,0.669
SimRNA,3,0.644
Das,1,0.659
Xiao,5,0.624
Xiao,1,0.616
Bujnicki,3,0.623
Dokholyan,1,0.630
Dokholyan,5,0.676
Chen,1,0.741
Xiao,2,0.594
Dokholyan,2,0.676
Dokholyan,3,0.629
Dokholyan,4,0.631
Xiao,3,0.578
Bujnicki,5,0.587
