Lab,Num,Clash Score
Adamiak,5,10.780
Das,6,4.240
Das,5,1.160
Das,2,3.850
Das,3,3.470
Das,10,1.730
SimRNA,2,125.530
Chen,3,8.090
Das,4,4.240
SimRNA,5,122.280
SimRNA,1,129.290
Chen,5,6.740
Das,9,2.120
Das,8,3.470
SimRNA,4,115.450
Bujnicki,1,51.270
Adamiak,3,4.810
Adamiak,1,5.580
Bujnicki,2,48.600
Xiao,4,1.160
Chen,2,4.810
Bujnicki,4,98.690
Adamiak,2,2.700
Adamiak,4,5.010
Chen,4,5.010
Das,7,2.890
SimRNA,3,119.320
Das,1,2.700
Xiao,5,1.350
Xiao,1,10.400
Bujnicki,3,128.290
Dokholyan,1,1.930
Dokholyan,5,2.120
Chen,1,2.700
Xiao,2,9.630
Dokholyan,2,0.000
Dokholyan,3,1.930
Dokholyan,4,1.150
Xiao,3,0.770
Bujnicki,5,62.040
