Lab,Num,INF nwc
Adamiak,5,0.000
Das,6,0.088
Das,5,0.000
Das,2,0.125
Das,3,0.000
Das,10,0.000
SimRNA,2,0.000
Chen,3,0.354
Das,4,0.088
SimRNA,5,0.000
SimRNA,1,0.000
Chen,5,0.354
Das,9,0.000
Das,8,0.177
SimRNA,4,0.000
Bujnicki,1,0.000
Adamiak,3,0.250
Adamiak,1,0.354
Bujnicki,2,0.000
Xiao,4,0.250
Chen,2,0.354
Bujnicki,4,-
Adamiak,2,0.204
Adamiak,4,0.250
Chen,4,0.289
Das,7,0.125
SimRNA,3,0.000
Das,1,0.144
Xiao,5,0.354
Xiao,1,0.000
Bujnicki,3,0.144
Dokholyan,1,-
Dokholyan,5,0.000
Chen,1,0.354
Xiao,2,0.250
Dokholyan,2,0.000
Dokholyan,3,0.000
Dokholyan,4,-
Xiao,3,-
Bujnicki,5,0.000
