Lab,Num,mcq
Adamiak,5,23.63
Das,6,18.93
Das,5,19.42
Das,2,18.58
Das,3,19.19
Das,10,19.41
SimRNA,2,26.45
Chen,3,27.11
Das,4,19.02
SimRNA,5,25.62
SimRNA,1,23.75
Chen,5,25.53
Das,9,18.11
Das,8,20.28
SimRNA,4,25.07
Bujnicki,1,23.05
Adamiak,3,18.41
Adamiak,1,21.80
Bujnicki,2,23.15
Xiao,4,35.13
Chen,2,25.89
Bujnicki,4,23.39
Adamiak,2,23.54
Adamiak,4,18.40
Chen,4,26.23
Das,7,18.38
SimRNA,3,24.30
Das,1,21.11
Xiao,5,32.81
Xiao,1,33.57
Bujnicki,3,24.04
Dokholyan,1,24.01
Dokholyan,5,23.14
Chen,1,27.71
Xiao,2,31.75
Dokholyan,2,23.55
Dokholyan,3,24.21
Dokholyan,4,23.59
Xiao,3,28.41
Bujnicki,5,23.86
