Lab,Num,P-value
TFN,2,0.00e+00
FARFAR2,6,0.00e+00
Das,2,0.00e+00
FARFAR2,2,0.00e+00
Das,5,0.00e+00
FARFAR2,8,0.00e+00
TFN,10,0.00e+00
Das,8,0.00e+00
FARFAR2,1,0.00e+00
TFN,3,0.00e+00
Das,9,0.00e+00
Das,6,0.00e+00
FARFAR2,9,0.00e+00
TFN,4,0.00e+00
TFN,9,0.00e+00
Chen,4,0.00e+00
Chen,2,0.00e+00
RNAComposer,4,0.00e+00
Chen,9,0.00e+00
Das,7,0.00e+00
FARFAR2,7,0.00e+00
Das,1,0.00e+00
FARFAR2,3,0.00e+00
TFN,6,0.00e+00
Das,3,0.00e+00
FARFAR2,4,0.00e+00
TFN,1,0.00e+00
Das,10,0.00e+00
Chen,3,0.00e+00
TFN,7,0.00e+00
Chen,8,0.00e+00
TFN,5,0.00e+00
Chen,1,0.00e+00
RNAComposer,3,0.00e+00
Chen,5,0.00e+00
Das,4,0.00e+00
FARFAR2,5,0.00e+00
FARFAR2,10,0.00e+00
Chen,10,0.00e+00
TFN,8,0.00e+00
Chen,7,0.00e+00
Bujnicki,1,0.00e+00
Bujnicki,3,0.00e+00
Bujnicki,2,0.00e+00
Bujnicki,5,0.00e+00
RNAComposer,5,0.00e+00
Chen,6,0.00e+00
Adamiak,1,0.00e+00
Adamiak,2,0.00e+00
RNAComposer,2,0.00e+00
Bujnicki,4,0.00e+00
RNAComposer,1,5.55e-17
iFoldRNA,2,1.44e-10
Xiao,4,2.35e-10
Xiao,5,2.35e-10
SimRNA,5,1.74e-09
SimRNA,3,2.69e-06
iFoldRNA,3,1.83e-04
SimRNA,2,2.16e-04
SimRNA,4,1.54e-02
iFoldRNA,1,3.11e-01
iFoldRNA,4,7.94e-01
SimRNA,1,8.25e-01
iFoldRNA,5,9.35e-01
Xiao,1,9.98e-01
Xiao,2,9.98e-01
Xiao,3,9.98e-01
