Lab,Num,RMSD
TFN,2,11.041
FARFAR2,6,11.381
Das,2,11.538
FARFAR2,2,11.538
Das,5,12.023
FARFAR2,8,12.023
TFN,10,12.702
Das,8,12.743
FARFAR2,1,12.743
TFN,3,12.814
Das,9,13.211
Das,6,13.535
FARFAR2,9,13.535
TFN,4,13.592
TFN,9,13.649
Chen,4,13.697
Chen,2,13.751
RNAComposer,4,13.842
Chen,9,13.883
Das,7,14.286
FARFAR2,7,14.286
Das,1,14.333
FARFAR2,3,14.333
TFN,6,14.421
Das,3,14.442
FARFAR2,4,14.442
TFN,1,14.933
Das,10,15.251
Chen,3,15.496
TFN,7,15.580
Chen,8,16.174
TFN,5,16.266
Chen,1,16.355
RNAComposer,3,16.490
Chen,5,16.869
Das,4,16.971
FARFAR2,5,16.971
FARFAR2,10,17.402
Chen,10,17.647
TFN,8,17.804
Chen,7,18.122
Bujnicki,1,18.158
Bujnicki,3,18.393
Bujnicki,2,18.952
Bujnicki,5,19.468
RNAComposer,5,19.479
Chen,6,19.518
Adamiak,1,20.242
Adamiak,2,20.254
RNAComposer,2,22.136
Bujnicki,4,22.489
RNAComposer,1,22.945
iFoldRNA,2,26.559
Xiao,4,26.696
Xiao,5,26.696
SimRNA,5,27.274
SimRNA,3,29.719
iFoldRNA,3,31.492
SimRNA,2,31.572
SimRNA,4,34.018
iFoldRNA,1,37.021
iFoldRNA,4,39.384
SimRNA,1,39.588
iFoldRNA,5,40.632
Xiao,1,43.041
Xiao,2,43.041
Xiao,3,43.041
