Lab,Num,TM-score
TFN,2,0.5310
FARFAR2,6,0.4980
Das,2,0.5180
FARFAR2,2,0.5180
Das,5,0.4810
FARFAR2,8,0.4810
TFN,10,0.4860
Das,8,0.4720
FARFAR2,1,0.4720
TFN,3,0.4460
Das,9,0.4660
Das,6,0.4760
FARFAR2,9,0.4760
TFN,4,0.4710
TFN,9,0.5040
Chen,4,0.5050
Chen,2,0.4860
RNAComposer,4,0.3720
Chen,9,0.4730
Das,7,0.4840
FARFAR2,7,0.4840
Das,1,0.5040
FARFAR2,3,0.5040
TFN,6,0.3610
Das,3,0.5220
FARFAR2,4,0.5220
TFN,1,0.4130
Das,10,0.4530
Chen,3,0.5100
TFN,7,0.4760
Chen,8,0.4280
TFN,5,0.4340
Chen,1,0.4470
RNAComposer,3,0.3270
Chen,5,0.4710
Das,4,0.4470
FARFAR2,5,0.4470
FARFAR2,10,0.4370
Chen,10,0.4320
TFN,8,0.4840
Chen,7,0.4380
Bujnicki,1,0.4350
Bujnicki,3,0.4160
Bujnicki,2,0.4440
Bujnicki,5,0.4270
RNAComposer,5,0.3130
Chen,6,0.4330
Adamiak,1,0.3590
Adamiak,2,0.3620
RNAComposer,2,0.2840
Bujnicki,4,0.4170
RNAComposer,1,0.3020
iFoldRNA,2,0.2550
Xiao,4,0.1850
Xiao,5,0.1850
SimRNA,5,0.1840
SimRNA,3,0.1700
iFoldRNA,3,0.2270
SimRNA,2,0.1640
SimRNA,4,0.1900
iFoldRNA,1,0.1620
iFoldRNA,4,0.1910
SimRNA,1,0.1340
iFoldRNA,5,0.1690
Xiao,1,0.1490
Xiao,2,0.1490
Xiao,3,0.1490
