Lab,Num,INF all
TFN,2,0.764
FARFAR2,6,0.758
Das,2,0.764
FARFAR2,2,0.764
Das,5,0.760
FARFAR2,8,0.760
TFN,10,0.771
Das,8,0.762
FARFAR2,1,0.762
TFN,3,0.769
Das,9,0.764
Das,6,0.762
FARFAR2,9,0.762
TFN,4,0.764
TFN,9,0.758
Chen,4,0.734
Chen,2,0.707
RNAComposer,4,0.723
Chen,9,0.759
Das,7,0.764
FARFAR2,7,0.764
Das,1,0.773
FARFAR2,3,0.773
TFN,6,0.760
Das,3,0.760
FARFAR2,4,0.760
TFN,1,0.776
Das,10,0.760
Chen,3,0.702
TFN,7,0.773
Chen,8,0.747
TFN,5,0.763
Chen,1,0.682
RNAComposer,3,0.707
Chen,5,0.734
Das,4,0.766
FARFAR2,5,0.766
FARFAR2,10,0.764
Chen,10,0.758
TFN,8,0.765
Chen,7,0.741
Bujnicki,1,0.637
Bujnicki,3,0.645
Bujnicki,2,0.641
Bujnicki,5,0.626
RNAComposer,5,0.728
Chen,6,0.738
Adamiak,1,0.747
Adamiak,2,0.759
RNAComposer,2,0.730
Bujnicki,4,0.628
RNAComposer,1,0.707
iFoldRNA,2,0.542
Xiao,4,0.584
Xiao,5,0.584
SimRNA,5,0.528
SimRNA,3,0.553
iFoldRNA,3,0.527
SimRNA,2,0.544
SimRNA,4,0.557
iFoldRNA,1,0.571
iFoldRNA,4,0.527
SimRNA,1,0.530
iFoldRNA,5,0.512
Xiao,1,0.284
Xiao,2,0.284
Xiao,3,0.284
