Lab,Num,mcq
TFN,2,20.16
FARFAR2,6,20.68
Das,2,19.83
FARFAR2,2,19.83
Das,5,20.22
FARFAR2,8,20.22
TFN,10,20.77
Das,8,20.63
FARFAR2,1,20.63
TFN,3,21.28
Das,9,20.39
Das,6,20.45
FARFAR2,9,20.45
TFN,4,21.41
TFN,9,20.61
Chen,4,27.20
Chen,2,28.36
RNAComposer,4,23.40
Chen,9,26.26
Das,7,20.32
FARFAR2,7,20.32
Das,1,20.94
FARFAR2,3,20.94
TFN,6,20.84
Das,3,20.41
FARFAR2,4,20.41
TFN,1,20.64
Das,10,20.03
Chen,3,26.18
TFN,7,20.13
Chen,8,27.47
TFN,5,21.61
Chen,1,27.14
RNAComposer,3,26.91
Chen,5,28.25
Das,4,20.58
FARFAR2,5,20.58
FARFAR2,10,19.77
Chen,10,26.29
TFN,8,20.03
Chen,7,28.86
Bujnicki,1,28.44
Bujnicki,3,28.12
Bujnicki,2,27.63
Bujnicki,5,28.75
RNAComposer,5,25.71
Chen,6,27.05
Adamiak,1,31.81
Adamiak,2,29.72
RNAComposer,2,23.66
Bujnicki,4,28.68
RNAComposer,1,26.71
iFoldRNA,2,28.23
Xiao,4,29.88
Xiao,5,29.88
SimRNA,5,27.81
SimRNA,3,28.50
iFoldRNA,3,27.71
SimRNA,2,29.02
SimRNA,4,26.86
iFoldRNA,1,26.83
iFoldRNA,4,27.84
SimRNA,1,29.34
iFoldRNA,5,26.71
Xiao,1,35.56
Xiao,2,35.56
Xiao,3,35.56
