Lab,Num,INF nwc
TFN,2,0.772
FARFAR2,6,0.772
Das,2,0.772
FARFAR2,2,0.772
Das,5,0.845
FARFAR2,8,0.845
TFN,10,0.772
Das,8,0.772
FARFAR2,1,0.772
TFN,3,0.845
Das,9,0.845
Das,6,0.845
FARFAR2,9,0.845
TFN,4,0.772
TFN,9,0.714
Chen,4,0.617
Chen,2,0.463
RNAComposer,4,0.218
Chen,9,0.617
Das,7,0.845
FARFAR2,7,0.845
Das,1,0.845
FARFAR2,3,0.845
TFN,6,0.845
Das,3,0.772
FARFAR2,4,0.772
TFN,1,0.845
Das,10,0.772
Chen,3,0.463
TFN,7,0.772
Chen,8,0.617
TFN,5,0.845
Chen,1,0.617
RNAComposer,3,0.436
Chen,5,0.617
Das,4,0.772
FARFAR2,5,0.772
FARFAR2,10,0.845
Chen,10,0.676
TFN,8,0.845
Chen,7,0.617
Bujnicki,1,0.436
Bujnicki,3,0.436
Bujnicki,2,0.567
Bujnicki,5,0.436
RNAComposer,5,0.267
Chen,6,0.571
Adamiak,1,0.378
Adamiak,2,0.668
RNAComposer,2,0.507
Bujnicki,4,0.378
RNAComposer,1,0.267
iFoldRNA,2,-
Xiao,4,-
Xiao,5,-
SimRNA,5,0.000
SimRNA,3,0.000
iFoldRNA,3,0.378
SimRNA,2,0.000
SimRNA,4,0.000
iFoldRNA,1,-
iFoldRNA,4,-
SimRNA,1,0.000
iFoldRNA,5,-
Xiao,1,0.000
Xiao,2,0.000
Xiao,3,0.000
