Lab,Num,Clash Score
TFN,2,9.970
FARFAR2,6,9.370
Das,2,10.760
FARFAR2,2,10.760
Das,5,9.370
FARFAR2,8,9.370
TFN,10,11.360
Das,8,8.170
FARFAR2,1,8.170
TFN,3,10.960
Das,9,9.170
Das,6,8.170
FARFAR2,9,8.170
TFN,4,10.160
TFN,9,9.370
Chen,4,4.980
Chen,2,6.980
RNAComposer,4,7.770
Chen,9,4.180
Das,7,9.570
FARFAR2,7,9.570
Das,1,9.170
FARFAR2,3,9.170
TFN,6,10.360
Das,3,9.170
FARFAR2,4,9.170
TFN,1,10.560
Das,10,8.970
Chen,3,2.990
TFN,7,9.960
Chen,8,4.380
TFN,5,8.570
Chen,1,5.180
RNAComposer,3,9.760
Chen,5,4.980
Das,4,9.170
FARFAR2,5,9.170
FARFAR2,10,8.170
Chen,10,9.170
TFN,8,10.170
Chen,7,4.780
Bujnicki,1,2.790
Bujnicki,3,3.990
Bujnicki,2,1.000
Bujnicki,5,4.780
RNAComposer,5,9.570
Chen,6,2.790
Adamiak,1,9.960
Adamiak,2,10.760
RNAComposer,2,9.370
Bujnicki,4,1.200
RNAComposer,1,8.170
iFoldRNA,2,125.420
Xiao,4,11.160
Xiao,5,11.360
SimRNA,5,160.760
SimRNA,3,134.160
iFoldRNA,3,126.100
SimRNA,2,128.170
SimRNA,4,134.940
iFoldRNA,1,123.530
iFoldRNA,4,163.240
SimRNA,1,139.530
iFoldRNA,5,114.020
Xiao,1,0.600
Xiao,2,0.600
Xiao,3,0.600
