Lab,Num,DI all
TFN,2,14.443
FARFAR2,6,15.019
Das,2,15.097
FARFAR2,2,15.097
Das,5,15.820
FARFAR2,8,15.820
TFN,10,16.480
Das,8,16.721
FARFAR2,1,16.721
TFN,3,16.659
Das,9,17.286
Das,6,17.760
FARFAR2,9,17.760
TFN,4,17.781
TFN,9,18.012
Chen,4,18.665
Chen,2,19.449
RNAComposer,4,19.144
Chen,9,18.303
Das,7,18.692
FARFAR2,7,18.692
Das,1,18.543
FARFAR2,3,18.543
TFN,6,18.968
Das,3,19.005
FARFAR2,4,19.005
TFN,1,19.248
Das,10,20.064
Chen,3,22.066
TFN,7,20.150
Chen,8,21.646
TFN,5,21.331
Chen,1,23.974
RNAComposer,3,23.321
Chen,5,22.987
Das,4,22.145
FARFAR2,5,22.145
FARFAR2,10,22.770
Chen,10,23.274
TFN,8,23.285
Chen,7,24.441
Bujnicki,1,28.483
Bujnicki,3,28.508
Bujnicki,2,29.553
Bujnicki,5,31.089
RNAComposer,5,26.760
Chen,6,26.434
Adamiak,1,27.100
Adamiak,2,26.675
RNAComposer,2,30.333
Bujnicki,4,35.807
RNAComposer,1,32.462
iFoldRNA,2,48.998
Xiao,4,45.717
Xiao,5,45.717
SimRNA,5,51.607
SimRNA,3,53.701
iFoldRNA,3,59.791
SimRNA,2,58.025
SimRNA,4,61.044
iFoldRNA,1,64.885
iFoldRNA,4,74.756
SimRNA,1,74.651
iFoldRNA,5,79.339
Xiao,1,151.618
Xiao,2,151.618
Xiao,3,151.618
