Lab,Num,INF wc
TFN,2,0.892
FARFAR2,6,0.892
Das,2,0.892
FARFAR2,2,0.892
Das,5,0.892
FARFAR2,8,0.892
TFN,10,0.882
Das,8,0.872
FARFAR2,1,0.872
TFN,3,0.903
Das,9,0.872
Das,6,0.882
FARFAR2,9,0.882
TFN,4,0.892
TFN,9,0.892
Chen,4,0.916
Chen,2,0.903
RNAComposer,4,0.899
Chen,9,0.916
Das,7,0.882
FARFAR2,7,0.882
Das,1,0.872
FARFAR2,3,0.872
TFN,6,0.882
Das,3,0.863
FARFAR2,4,0.863
TFN,1,0.892
Das,10,0.892
Chen,3,0.914
TFN,7,0.903
Chen,8,0.930
TFN,5,0.882
Chen,1,0.889
RNAComposer,3,0.906
Chen,5,0.916
Das,4,0.872
FARFAR2,5,0.872
FARFAR2,10,0.882
Chen,10,0.919
TFN,8,0.903
Chen,7,0.940
Bujnicki,1,0.734
Bujnicki,3,0.734
Bujnicki,2,0.744
Bujnicki,5,0.728
RNAComposer,5,0.919
Chen,6,0.916
Adamiak,1,0.940
Adamiak,2,0.953
RNAComposer,2,0.916
Bujnicki,4,0.744
RNAComposer,1,0.919
iFoldRNA,2,0.542
Xiao,4,0.695
Xiao,5,0.695
SimRNA,5,0.624
SimRNA,3,0.568
iFoldRNA,3,0.532
SimRNA,2,0.582
SimRNA,4,0.578
iFoldRNA,1,0.519
iFoldRNA,4,0.575
SimRNA,1,0.550
iFoldRNA,5,0.572
Xiao,1,0.000
Xiao,2,0.000
Xiao,3,0.000
