Lab,Num,Clash Score
TFN,8,1.770
TFN,4,1.330
Bujnicki,2,0.000
FARFAR2,5,1.330
TFN,2,1.770
TFN,3,1.770
TFN,7,0.890
Adamiak,3,6.650
Das,2,1.330
FARFAR2,1,1.330
TFN,10,1.770
TFN,1,1.330
RNAComposer,1,10.640
FARFAR2,8,1.330
TFN,5,1.770
Das,5,1.770
FARFAR2,3,1.770
FARFAR2,9,1.330
Das,6,0.890
FARFAR2,4,0.890
TFN,6,1.330
RNAComposer,2,15.520
Das,9,1.330
Bujnicki,1,0.000
Das,8,0.890
FARFAR2,7,0.890
TFN,9,1.330
Das,4,1.330
FARFAR2,2,1.330
Das,7,1.330
FARFAR2,6,1.330
Das,10,1.330
RNAComposer,3,11.090
Das,1,1.330
Das,3,0.890
FARFAR2,10,0.890
Chen,4,0.440
Chen,2,2.220
Bujnicki,4,0.000
Bujnicki,3,0.000
Chen,5,6.220
Xiao,1,15.520
Xiao,2,15.520
Xiao,3,15.520
Xiao,4,15.520
Xiao,5,15.520
Chen,8,0.000
Chen,7,0.440
Adamiak,2,9.310
Adamiak,4,10.200
Chen,1,5.320
Adamiak,1,11.090
Bujnicki,5,0.000
Chen,10,0.440
Chen,6,0.440
Chen,3,0.440
Chen,9,0.440
Ding,1,11.970
Ding,2,10.640
Ding,3,17.290
SimRNA,5,148.310
SimRNA,3,123.620
SimRNA,1,117.880
iFoldRNA,1,123.450
SimRNA,2,128.600
iFoldRNA,2,120.840
SimRNA,4,142.980
