Lab,Num,P-value
TFN,8,0.00e+00
TFN,4,0.00e+00
Bujnicki,2,0.00e+00
FARFAR2,5,0.00e+00
TFN,2,0.00e+00
TFN,3,0.00e+00
TFN,7,0.00e+00
Adamiak,3,0.00e+00
Das,2,0.00e+00
FARFAR2,1,0.00e+00
TFN,10,0.00e+00
TFN,1,0.00e+00
RNAComposer,1,0.00e+00
FARFAR2,8,0.00e+00
TFN,5,0.00e+00
Das,5,0.00e+00
FARFAR2,3,0.00e+00
FARFAR2,9,0.00e+00
Das,6,0.00e+00
FARFAR2,4,0.00e+00
TFN,6,0.00e+00
RNAComposer,2,0.00e+00
Das,9,0.00e+00
Bujnicki,1,0.00e+00
Das,8,0.00e+00
FARFAR2,7,0.00e+00
TFN,9,0.00e+00
Das,4,0.00e+00
FARFAR2,2,0.00e+00
Das,7,0.00e+00
FARFAR2,6,0.00e+00
Das,10,0.00e+00
RNAComposer,3,0.00e+00
Das,1,0.00e+00
Das,3,0.00e+00
FARFAR2,10,0.00e+00
Chen,4,0.00e+00
Chen,2,0.00e+00
Bujnicki,4,0.00e+00
Bujnicki,3,0.00e+00
Chen,5,0.00e+00
Xiao,1,0.00e+00
Xiao,2,0.00e+00
Xiao,3,0.00e+00
Xiao,4,0.00e+00
Xiao,5,0.00e+00
Chen,8,0.00e+00
Chen,7,0.00e+00
Adamiak,2,0.00e+00
Adamiak,4,0.00e+00
Chen,1,0.00e+00
Adamiak,1,0.00e+00
Bujnicki,5,0.00e+00
Chen,10,0.00e+00
Chen,6,0.00e+00
Chen,3,0.00e+00
Chen,9,0.00e+00
Ding,1,0.00e+00
Ding,2,3.39e-14
Ding,3,4.03e-13
SimRNA,5,4.25e-12
SimRNA,3,8.13e-09
SimRNA,1,8.60e-09
iFoldRNA,1,3.92e-08
SimRNA,2,5.93e-07
iFoldRNA,2,1.66e-03
SimRNA,4,3.05e-02
