Lab,Num,TM-score
TFN,8,0.6650
TFN,4,0.6670
Bujnicki,2,0.6790
FARFAR2,5,0.6630
TFN,2,0.6640
TFN,3,0.6610
TFN,7,0.6610
Adamiak,3,0.7320
Das,2,0.6610
FARFAR2,1,0.6610
TFN,10,0.6610
TFN,1,0.6610
RNAComposer,1,0.7140
FARFAR2,8,0.6600
TFN,5,0.6620
Das,5,0.6600
FARFAR2,3,0.6600
FARFAR2,9,0.6600
Das,6,0.6610
FARFAR2,4,0.6610
TFN,6,0.6600
RNAComposer,2,0.6900
Das,9,0.6530
Bujnicki,1,0.6660
Das,8,0.6590
FARFAR2,7,0.6590
TFN,9,0.6590
Das,4,0.6600
FARFAR2,2,0.6600
Das,7,0.6570
FARFAR2,6,0.6570
Das,10,0.6570
RNAComposer,3,0.7030
Das,1,0.6520
Das,3,0.6510
FARFAR2,10,0.6510
Chen,4,0.6700
Chen,2,0.6630
Bujnicki,4,0.6600
Bujnicki,3,0.6810
Chen,5,0.6660
Xiao,1,0.5220
Xiao,2,0.5220
Xiao,3,0.5220
Xiao,4,0.5220
Xiao,5,0.5220
Chen,8,0.6120
Chen,7,0.6180
Adamiak,2,0.5840
Adamiak,4,0.5830
Chen,1,0.6620
Adamiak,1,0.5770
Bujnicki,5,0.6550
Chen,10,0.6160
Chen,6,0.6140
Chen,3,0.6560
Chen,9,0.6130
Ding,1,0.3770
Ding,2,0.3520
Ding,3,0.3740
SimRNA,5,0.2900
SimRNA,3,0.2620
SimRNA,1,0.2490
iFoldRNA,1,0.3160
SimRNA,2,0.2820
iFoldRNA,2,0.2570
SimRNA,4,0.1960
