Lab,Num,DI all
TFN,8,2.847
TFN,4,2.812
Bujnicki,2,2.694
FARFAR2,5,2.807
TFN,2,2.857
TFN,3,2.884
TFN,7,2.893
Adamiak,3,2.745
Das,2,2.852
FARFAR2,1,2.852
TFN,10,2.930
TFN,1,2.930
RNAComposer,1,2.901
FARFAR2,8,2.948
TFN,5,2.937
Das,5,2.942
FARFAR2,3,2.942
FARFAR2,9,2.944
Das,6,2.957
FARFAR2,4,2.957
TFN,6,2.971
RNAComposer,2,2.931
Das,9,2.961
Bujnicki,1,2.898
Das,8,3.044
FARFAR2,7,3.044
TFN,9,3.071
Das,4,3.048
FARFAR2,2,3.048
Das,7,3.091
FARFAR2,6,3.091
Das,10,3.111
RNAComposer,3,3.174
Das,1,3.253
Das,3,3.211
FARFAR2,10,3.211
Chen,4,3.206
Chen,2,3.418
Bujnicki,4,3.410
Bujnicki,3,3.600
Chen,5,3.941
Xiao,1,5.257
Xiao,2,5.257
Xiao,3,5.257
Xiao,4,5.257
Xiao,5,5.257
Chen,8,4.303
Chen,7,4.532
Adamiak,2,4.630
Adamiak,4,4.670
Chen,1,4.717
Adamiak,1,4.878
Bujnicki,5,4.717
Chen,10,4.999
Chen,6,5.662
Chen,3,6.204
Chen,9,6.420
Ding,1,9.201
Ding,2,16.460
Ding,3,16.161
SimRNA,5,16.097
SimRNA,3,20.902
SimRNA,1,19.041
iFoldRNA,1,20.197
SimRNA,2,21.259
iFoldRNA,2,27.185
SimRNA,4,31.304
